index,County,Precinct,Registered Voters,H. Frankie Gray (I) (Rep)_Election Day Votes,H. Frankie Gray (I) (Rep)_Advanced Voting Votes,H. Frankie Gray (I) (Rep)_Absentee by Mail Votes,H. Frankie Gray (I) (Rep)_Provisional Votes,H. Frankie Gray (I) (Rep)_Choice Total,Total,
0,Hart,Hartwell,6451,620,2645,861,2,4128,4128,
1,Hart,Goldmine,1901,387,667,214,0,1268,1268,
2,Hart,Cokesbury,1162,207,357,132,0,696,696,
3,Hart,Reed Creek,2990,489,1275,398,1,2163,2163,
4,Hart,Bowersville,1395,357,466,94,0,917,917,
5,Hart,Shoal Creek,1656,379,577,213,0,1169,1169,
6,Hart,Bio,1374,271,540,146,0,957,957,
