County,YES_Election Day Votes,YES_Absentee by Mail Votes,YES_Advanced Voting Votes,YES_Provisional Votes,YES_TOTAL VOTES,NO_Election Day Votes,NO_Absentee by Mail Votes,NO_Advanced Voting Votes,NO_Provisional Votes,NO_TOTAL VOTES,Total,
Appling,1368,960,2958,9,5295,524,344,1383,2,2253,7548,
Atkinson,655,210,1178,0,2043,227,51,480,1,759,2802,
Bacon,383,453,2347,1,3184,118,139,643,1,901,4085,
Baker,265,233,456,1,955,123,96,192,1,412,1367,
Baldwin,2473,3350,7881,2,13706,794,669,1951,3,3417,17123,
Banks,1342,1062,4120,10,6534,359,236,1135,4,1734,8268,
Barrow,5982,6164,17052,6,29204,1447,1131,4156,0,6734,35938,
Bartow,9705,8366,21199,17,39287,2283,1647,4783,6,8719,48006,
Ben Hill,562,885,3146,0,4593,186,234,1077,0,1497,6090,
Berrien,1565,874,3213,6,5658,497,179,949,1,1626,7284,
Bibb,12328,15379,25120,120,52947,3777,3270,7119,36,14202,67149,
Bleckley,951,793,2483,2,4229,241,155,690,0,1086,5315,
Brantley,1481,664,3212,7,5364,465,155,1014,0,1634,6998,
Brooks,1304,1164,2352,0,4820,471,320,811,3,1605,6425,
Bryan,2726,2946,11086,6,16764,603,528,2202,0,3333,20097,
Bulloch,7093,5030,11033,35,23191,1773,946,2709,12,5440,28631,
Burke,2345,1899,3334,0,7578,857,400,1015,0,2272,9850,
Butts,881,1565,6166,3,8615,255,418,1758,0,2431,11046,
Calhoun,453,416,669,0,1538,139,126,208,0,473,2011,
Camden,3656,3911,10378,4,17949,954,740,2617,2,4313,22262,
Candler,1545,518,1116,1,3180,457,175,315,0,947,4127,
Carroll,10910,7390,23446,31,41777,2778,1462,5670,6,9916,51693,
Catoosa,4855,4055,16491,20,25421,1100,666,3430,2,5198,30619,
Charlton,913,475,1667,1,3056,320,134,584,1,1039,4095,
Chatham,27738,32935,41963,192,102828,7775,6017,10253,69,24114,126942,
Chattahoochee,305,206,545,2,1058,107,65,182,1,355,1413,
Chattooga,2129,1357,4054,5,7545,552,284,1012,1,1849,9394,
Cherokee,25054,31286,61178,23,117541,4666,3927,11232,2,19827,137368,
Clarke,6915,15557,19096,35,41603,1670,2075,3462,16,7223,48826,
Clay,216,294,517,0,1027,64,89,160,0,313,1340,
Clayton,14765,24158,44937,299,84159,4802,5834,12766,145,23547,107706,
Clinch,548,224,1066,0,1838,167,80,341,1,589,2427,
Cobb,55150,123580,139570,329,318629,12635,17602,29093,122,59452,378081,
Coffee,2520,1342,6513,5,10380,827,399,2133,3,3362,13742,
Colquitt,3997,1926,6034,7,11964,1048,441,1449,4,2942,14906,
Columbia,15122,13506,36082,51,64761,2882,2284,7108,13,12287,77048,
Cook,1247,752,3192,0,5191,331,197,921,0,1449,6640,
Coweta,18541,15242,26385,13,60181,4402,2543,5771,7,12723,72904,
Crawford,1038,779,2555,2,4374,305,229,780,0,1314,5688,
Crisp,1133,1190,3510,3,5836,330,325,975,1,1631,7467,
Dade,1703,774,2975,3,5455,389,148,779,1,1317,6772,
Dawson,2086,2527,8083,2,12698,432,338,1750,0,2520,15218,
Decatur,1579,1717,4952,10,8258,546,469,1576,3,2594,10852,
DeKalb,35829,105733,157661,974,300197,9079,14407,29432,306,53224,353421,
Dodge,1995,888,2618,5,5506,652,267,870,0,1789,7295,
Dooly,640,503,1622,3,2768,227,158,595,0,980,3748,
Dougherty,8543,7919,9649,74,26185,2697,1928,2849,21,7495,33680,
Douglas,7753,15216,27911,38,50918,2583,3422,9047,14,15066,65984,
Early,968,844,1763,0,3575,340,194,630,0,1164,4739,
Echols,183,117,745,0,1045,54,18,202,0,274,1319,
Effingham,7197,3949,13248,16,24410,1713,688,3160,7,5568,29978,
Elbert,1679,1480,3330,0,6489,546,425,1052,0,2023,8512,
Emanuel,2257,1210,2953,1,6421,793,326,975,1,2095,8516,
Evans,515,620,1969,0,3104,153,148,555,0,856,3960,
Fannin,3310,2660,5163,16,11149,890,473,1163,5,2531,13680,
Fayette,7797,15110,31521,0,54428,1793,2460,7019,0,11272,65700,
Floyd,7968,6831,15374,92,30265,1868,1146,3314,24,6352,36617,
Forsyth,10806,25557,70483,43,106889,1987,3274,11196,7,16464,123353,
Franklin,1974,1570,4563,2,8109,535,332,1125,0,1992,10101,
Fulton,43375,120452,252694,2291,418812,11280,16357,46545,785,74967,493779,
Gilmer,3483,2750,6075,10,12318,1018,498,1544,1,3061,15379,
Glascock,288,173,578,0,1039,107,34,148,0,289,1328,
Glynn,5184,7887,18663,36,31770,1441,1532,4699,11,7683,39453,
Gordon,5938,3112,8868,6,17924,1551,588,2168,4,4311,22235,
Grady,1936,1621,4230,0,7787,610,450,1219,0,2279,10066,
Greene,1073,2259,5500,6,8838,305,400,1111,3,1819,10657,
Gwinnett,55115,97862,169414,445,322836,14973,17780,40134,150,73037,395873,
Habersham,2423,3310,9756,13,15502,616,640,2491,7,3754,19256,
Hall,11775,17579,42640,0,71994,2845,2684,8822,0,14351,86345,
Hancock,581,1028,1193,2,2804,220,247,364,1,832,3636,
Haralson,3482,1889,5244,4,10619,996,425,1386,0,2807,13426,
Harris,5164,3366,6731,14,15275,1302,586,1477,2,3367,18642,
Hart,2204,1967,5430,4,9605,551,349,1285,0,2185,11790,
Heard,1341,762,1880,1,3984,359,152,487,1,999,4983,
Henry,12314,22964,57612,63,92953,3680,4872,16327,19,24898,117851,
Houston,13910,15911,27646,60,57527,3598,3207,6844,24,13673,71200,
Irwin,622,458,1864,3,2947,209,123,609,2,943,3890,
Jackson,4823,5915,19405,5,30148,1012,996,3599,1,5608,35756,
Jasper,1405,1162,3206,10,5783,350,230,805,3,1388,7171,
