index,County,Precinct,Registered Voters,"James T. """"Jimmy"""" Spurling (Rep)_Election Day Votes","James T. """"Jimmy"""" Spurling (Rep)_Advanced Voting Votes","James T. """"Jimmy"""" Spurling (Rep)_Absentee by Mail Votes","James T. """"Jimmy"""" Spurling (Rep)_Provisional Votes","James T. """"Jimmy"""" Spurling (Rep)_Choice Total",Total,
0,Catoosa,Blackstock,1952,399,629,127,1,1156,1156,
1,Catoosa,Boynton,6027,763,2726,501,3,3993,3993,
2,Catoosa,Catoosa Keith,2611,520,934,201,0,1655,1655,
3,Catoosa,Chambers,2552,357,1193,227,2,1779,1779,
4,Catoosa,Ft Oglethorpe,4054,434,1487,393,1,2315,2315,
5,Catoosa,Graysville,4501,630,1767,334,3,2734,2734,
6,Catoosa,Lakeview,3572,393,1224,268,3,1888,1888,
7,Catoosa,Poplar Springs,4191,518,1842,340,1,2701,2701,
8,Catoosa,Ringgold,7414,664,3358,695,3,4720,4720,
9,Catoosa,Westside,5895,463,2395,512,2,3372,3372,
10,Catoosa,Woodstation,2946,568,1231,207,3,2009,2009,
