index,County,Precinct,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total,
0,Catoosa,Blackstock,1952,379,581,112,0,1072,47,109,55,1,212,1284,
1,Catoosa,Boynton,6027,679,2416,377,2,3474,130,544,268,1,943,4417,
2,Catoosa,Catoosa Keith,2611,493,850,167,0,1510,50,171,90,0,311,1821,
3,Catoosa,Chambers,2552,327,1106,186,4,1623,59,187,91,0,337,1960,
4,Catoosa,Ft Oglethorpe,4054,367,1286,291,1,1945,104,360,218,0,682,2627,
5,Catoosa,Graysville,4501,552,1602,249,3,2406,111,336,189,0,636,3042,
6,Catoosa,Lakeview,3572,337,1075,199,2,1613,90,256,132,1,479,2092,
7,Catoosa,Poplar Springs,4191,467,1655,260,0,2382,78,322,176,1,577,2959,
8,Catoosa,Ringgold,7414,578,2929,515,3,4025,153,736,377,0,1266,5291,
9,Catoosa,Westside,5895,396,2084,403,2,2885,91,534,238,0,863,3748,
10,Catoosa,Woodstation,2946,521,1156,151,3,1831,79,186,105,0,370,2201,
