index,County,Precinct,Registered Voters,Chris A. Arnt (Rep)_Election Day Votes,Chris A. Arnt (Rep)_Advanced Voting Votes,Chris A. Arnt (Rep)_Absentee by Mail Votes,Chris A. Arnt (Rep)_Provisional Votes,Chris A. Arnt (Rep)_Choice Total,Total,
0,Catoosa,Blackstock,1952,395,623,126,1,1145,1145,
1,Catoosa,Boynton,6027,759,2675,490,3,3927,3927,
2,Catoosa,Catoosa Keith,2611,517,922,199,0,1638,1638,
3,Catoosa,Chambers,2552,355,1154,224,2,1735,1735,
4,Catoosa,Ft Oglethorpe,4054,422,1463,382,1,2268,2268,
5,Catoosa,Graysville,4501,614,1749,325,3,2691,2691,
6,Catoosa,Lakeview,3572,393,1210,257,3,1863,1863,
7,Catoosa,Poplar Springs,4191,510,1805,326,0,2641,2641,
8,Catoosa,Ringgold,7414,653,3300,680,3,4636,4636,
9,Catoosa,Westside,5895,464,2356,506,2,3328,3328,
10,Catoosa,Woodstation,2946,562,1220,208,3,1993,1993,
