index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Madison,Colbert,3342,435,956,219,0,1610,140,293,208,1,642,23,23,16,0,62,2314,
1,Madison,Collins,647,186,160,41,0,387,11,24,21,0,56,6,3,0,0,9,452,
2,Madison,Comer,1441,228,352,90,0,670,84,122,134,0,340,14,10,7,0,31,1041,
3,Madison,Danielsville,3003,276,1147,281,0,1704,35,150,119,0,304,17,31,10,0,58,2066,
4,Madison,Fork,566,150,77,22,0,249,29,53,43,0,125,11,4,0,0,15,389,
5,Madison,Harrison,610,232,135,58,0,425,13,19,6,0,38,3,8,0,0,11,474,
6,Madison,Hull,4376,514,1046,355,0,1915,199,414,281,1,895,40,39,14,0,93,2903,
7,Madison,Ila,1746,294,522,160,0,976,28,48,60,0,136,10,20,3,0,33,1145,
8,Madison,Mill,1646,312,576,131,1,1020,30,58,60,0,148,12,12,4,0,28,1196,
9,Madison,Paoli,267,99,63,20,0,182,9,8,11,0,28,1,0,2,0,3,213,
10,Madison,Pittman,1949,354,547,214,0,1115,55,99,100,0,254,20,16,9,0,45,1414,
11,Madison,Poca,1127,269,299,102,0,670,23,44,39,0,106,11,7,6,0,24,800,
