index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Chatham,1-01C First Presbyterian Church3187,318,392,242,0,952,207,679,711,0,1597,15,8,9,0,32,2581,,
1,Chatham,1-05C JEA Building,2106,206,241,147,1,595,162,408,379,0,949,14,9,8,1,32,1576,
2,Chatham,1-06C Central Church of Christ2035,339,300,214,1,854,110,259,333,2,704,17,3,9,0,29,1587,,
3,Chatham,1-08C Grace United Methodist Church1667,286,207,135,0,628,129,242,215,1,587,4,3,3,0,10,1225,,
4,Chatham,1-09C Immanuel Baptist Church 739,81,60,37,3,181,70,95,100,0,265,2,0,3,0,5,451,,
5,Chatham,1-10C St Thomas Episcopal Church1101,319,166,140,1,626,70,105,125,0,300,12,2,2,1,17,943,,
6,Chatham,1-12C Isle of Hope Baptist,1909,483,363,233,1,1080,117,198,229,0,544,9,1,6,0,16,1640,
7,Chatham,1-13C The Sanctuary,1396,246,236,106,1,589,92,141,181,0,414,5,7,2,0,14,1017,
8,Chatham,1-14C Compassion Christian Church1718,240,349,195,1,785,74,181,233,0,488,8,3,8,0,19,1292,,
9,Chatham,1-16C Ferguson Ave Baptist,2905,583,640,269,5,1497,140,217,231,1,589,10,7,7,0,24,2110,
10,Chatham,1-17C Islands Christian Church3136,447,811,408,0,1666,118,260,481,1,860,15,12,8,0,35,2561,,
11,Chatham,2-02C Blackshear Community Center1714,44,74,42,1,161,212,264,229,8,713,10,2,9,0,21,895,,
12,Chatham,2-03C W W Law Center,1609,48,49,18,0,115,202,253,251,1,707,12,8,4,1,25,847,
13,Chatham,2-04C Fellowship of Love Church3178,59,41,29,0,129,428,610,607,2,1647,9,8,6,0,23,1799,,
14,Chatham,2-05C Holy Spirit Lutheran Church2079,54,54,26,1,135,273,492,355,3,1123,14,3,5,0,22,1280,,
15,Chatham,2-06C Eli Whitney Complex,759,29,31,5,0,65,122,111,99,3,335,2,3,2,0,7,407,
16,Chatham,2-07C Christ Community Church 2808,94,78,48,0,220,343,570,431,3,1347,9,8,5,0,22,1589,,
17,Chatham,2-09C Salvation Army,3342,100,102,54,0,256,376,720,642,4,1742,17,5,5,0,27,2025,
18,Chatham,2-11C Stillwell Towers,1900,66,65,32,0,163,295,268,273,3,839,10,1,1,0,12,1014,
19,Chatham,2-12C Williams Court Apts,1683,56,53,14,0,123,182,339,298,4,823,10,9,7,0,26,972,
20,Chatham,3-01C Old Courthouse,458,48,38,36,0,122,22,74,79,1,176,2,0,2,0,4,302,
21,Chatham,3-02C Temple Mickve Israel,1598,124,185,99,2,410,79,312,317,1,709,9,2,2,0,13,1132,
22,Chatham,3-03C Savannah High School,1185,14,30,20,0,64,199,204,130,4,537,2,2,3,1,8,609,
23,Chatham,3-04C First African Baptist Church1558,35,14,14,0,63,308,246,244,0,798,6,1,3,0,10,871,,
24,Chatham,3-05C Aldersgate Youth Center 2107,121,117,62,0,300,260,341,281,2,884,13,3,5,0,21,1205,,
