index,County,Precinct,Registered Voters,Tanya Milton (Dem)_Election Day Votes,Tanya Milton (Dem)_Advanced Voting Votes,Tanya Milton (Dem)_Absentee by Mail Votes,Tanya Milton (Dem)_Provisional Votes,Tanya Milton (Dem)_Choice Total,Total,
0,Chatham,5-02C Senior Citizens Center,783,124,120,119,1,364,364,
1,Chatham,5-03C Butler Presbyterian Church1078,191,162,189,4,546,546,,
2,Chatham,5-05C Liberty City Comm Ctr,2574,432,568,586,3,1589,1589,
3,Chatham,5-06C Seed Church,2598,290,422,331,7,1050,1050,
4,Chatham,5-08C Savannah Primitive BC,1848,242,387,312,2,943,943,
5,Chatham,5-10C Tatumville Community Center3507,553,693,686,3,1935,1935,,
6,Chatham,5-11C Largo-Tibet Elementary,3019,360,657,435,3,1455,1455,
7,Chatham,7-09C Savannah Holy C of G,2823,341,531,434,0,1306,1306,
8,Chatham,7-10C Progressive Rec Center,4288,478,999,606,4,2087,2087,
9,Chatham,8-03C Silk Hope Baptist Church831,128,87,81,0,296,296,,
10,Chatham,8-06C Tompkins Rec Center,1055,138,96,111,0,345,345,
11,Chatham,8-12C Beach High School,1310,31,35,36,1,103,103,
