index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Ware,100,4740,83,235,119,0,437,198,861,821,0,1880,17,26,19,0,62,2379,
1,Ware,200A,2730,176,698,167,0,1041,75,299,156,0,530,21,36,10,0,67,1638,
2,Ware,200B,976,36,106,47,0,189,30,134,111,0,275,2,10,1,0,13,477,
3,Ware,300,4061,340,1322,340,0,2002,93,298,200,0,591,19,34,26,0,79,2672,
4,Ware,304,1269,173,391,59,0,623,18,48,39,0,105,10,8,4,0,22,750,
5,Ware,400,3538,387,1393,315,0,2095,32,175,118,0,325,14,29,9,0,52,2472,
6,Ware,404,373,151,65,29,0,245,5,6,17,0,28,3,0,2,0,5,278,
7,Ware,405,636,196,185,46,0,427,8,6,9,0,23,5,3,1,0,9,459,
8,Ware,406,1659,282,630,114,0,1026,21,55,29,0,105,11,15,0,0,26,1157,
9,Ware,407,505,193,108,27,0,328,7,5,5,0,17,3,2,0,0,5,350,
10,Ware,408,523,199,118,22,0,339,5,7,6,0,18,1,1,0,0,2,359,
11,Ware,409,984,197,347,68,0,612,13,23,16,0,52,8,2,3,0,13,677,
