index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Ware,100,4740,74,258,122,0,454,209,840,829,0,1878,20,36,21,0,77,2409,
1,Ware,200A,2730,181,711,175,0,1067,74,295,151,0,520,20,37,12,0,69,1656,
2,Ware,200B,976,36,108,46,0,190,33,136,113,0,282,3,9,2,0,14,486,
3,Ware,300,4061,348,1352,353,0,2053,96,296,208,0,600,15,34,21,0,70,2723,
4,Ware,304,1269,175,402,65,0,642,16,49,41,0,106,12,5,2,0,19,767,
5,Ware,400,3538,396,1420,330,0,2146,34,176,116,0,326,10,31,14,0,55,2527,
6,Ware,404,373,157,65,29,0,251,5,6,17,0,28,0,0,2,0,2,281,
7,Ware,405,636,197,190,48,0,435,7,7,9,0,23,5,2,1,0,8,466,
8,Ware,406,1659,286,644,114,0,1044,19,56,29,0,104,11,10,2,0,23,1171,
9,Ware,407,505,200,111,27,0,338,4,4,4,0,12,2,1,1,0,4,354,
10,Ware,408,523,207,120,22,0,349,5,7,6,0,18,1,1,0,0,2,369,
11,Ware,409,984,205,350,71,0,626,16,23,18,0,57,4,3,1,0,8,691,
