index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Effingham,1A,1965,377,649,95,1,1122,67,143,102,0,312,27,17,4,0,48,1482,
1,Effingham,1B,3005,602,919,172,2,1695,97,141,105,0,343,24,24,15,0,63,2101,
2,Effingham,1C,1446,406,296,64,0,766,85,75,60,0,220,17,1,6,0,24,1010,
3,Effingham,1D,2031,538,560,104,1,1203,60,69,67,0,196,17,9,7,0,33,1432,
4,Effingham,2A,3038,604,914,194,1,1713,105,228,151,0,484,30,28,20,0,78,2275,
5,Effingham,2B,3010,521,783,179,1,1484,123,254,161,1,539,28,24,11,1,64,2087,
6,Effingham,2C,4621,627,1456,248,3,2334,164,449,320,1,934,43,42,12,0,97,3365,
7,Effingham,3A,1398,311,423,85,0,819,55,76,47,0,178,12,7,2,0,21,1018,
8,Effingham,3B,1553,257,398,73,0,728,143,147,101,0,391,11,9,5,0,25,1144,
9,Effingham,3C,2060,296,688,109,1,1094,68,198,61,1,328,7,14,4,0,25,1447,
10,Effingham,3D,3125,427,1004,135,4,1570,164,281,154,1,600,21,24,10,0,55,2225,
11,Effingham,4A,3726,463,1237,208,0,1908,101,325,166,2,594,29,28,11,0,68,2570,
12,Effingham,4B,1888,226,513,86,0,825,79,188,142,0,409,6,9,9,0,24,1258,
13,Effingham,4C,2837,413,972,175,0,1560,73,135,122,0,330,27,26,5,0,58,1948,
14,Effingham,5A,2924,406,945,162,1,1514,107,208,126,2,443,21,20,10,0,51,2008,
15,Effingham,5B,3962,459,1017,194,1,1671,215,488,255,0,958,21,29,14,0,64,2693,
16,Effingham,5C,1684,234,499,93,0,826,75,185,107,1,368,11,11,8,0,30,1224,
