index,County,Precinct,Registered Voters,Linda D. Hays (I) (Rep)_Election Day Votes,Linda D. Hays (I) (Rep)_Advanced Voting Votes,Linda D. Hays (I) (Rep)_Absentee by Mail Votes,Linda D. Hays (I) (Rep)_Provisional Votes,Linda D. Hays (I) (Rep)_Choice Total,Total,
0,Newton,City Pond,1833,258,227,211,0,696,696,
1,Newton,Town,4378,520,539,573,0,1632,1632,
2,Newton,Almon,5009,559,841,584,2,1986,1986,
3,Newton,Alcovy,4620,739,1018,676,2,2435,2435,
4,Newton,Covington Mills,3111,524,520,418,0,1462,1462,
5,Newton,Brewers,3538,1191,570,361,3,2125,2125,
6,Newton,Brick Store,2623,833,511,372,0,1716,1716,
7,Newton,Cedar Shoals,2838,527,408,304,0,1239,1239,
8,Newton,Livingston,4593,574,748,513,3,1838,1838,
9,Newton,Downs,6215,1025,1368,694,1,3088,3088,
10,Newton,Gum Creek,4135,1022,958,654,1,2635,2635,
11,Newton,Beaverdam,5428,538,969,561,2,2070,2070,
12,Newton,Leguinn,2177,790,355,280,3,1428,1428,
13,Newton,Mansfield,1524,796,175,157,0,1128,1128,
14,Newton,Newborn,784,415,65,69,0,549,549,
15,Newton,Oxford,2418,630,450,414,1,1495,1495,
16,Newton,Rocky Plains,3658,741,720,388,1,1850,1850,
17,Newton,Buck Creek,4839,792,910,600,2,2304,2304,
18,Newton,Stansells,4969,498,839,523,0,1860,1860,
19,Newton,Fairview,2953,285,419,266,2,972,972,
20,Newton,Crowell,4977,418,740,459,1,1618,1618,
21,Newton,Hub,2374,924,491,344,1,1760,1760,
