index,County,Precinct,Registered Voters,Dell F. McGregor_Election Day Votes,Dell F. McGregor_Advanced Voting Votes,Dell F. McGregor_Absentee by Mail Votes,Dell F. McGregor_Provisional Votes,Dell F. McGregor_Choice Total,Total,
0,DeKalb,Allgood Elem,2858,241,805,553,2,1601,1601,
1,DeKalb,Ashford Park Elem,2432,196,791,437,1,1425,1425,
2,DeKalb,Austin,2538,217,822,527,2,1568,1568,
3,DeKalb,Avondale,2906,286,921,693,1,1901,1901,
4,DeKalb,Austin Drive,2536,190,562,420,12,1184,1184,
5,DeKalb,Ashford Dunwoody Rd,2966,187,1056,555,5,1803,1803,
6,DeKalb,Ashford Parkside,3664,219,1064,752,5,2040,2040,
7,DeKalb,Avondale High,3151,119,1044,816,4,1983,1983,
8,DeKalb,Boulevard,4675,235,1660,1017,3,2915,2915,
9,DeKalb,Briar Vista Elem,2965,200,802,729,1,1732,1732,
10,DeKalb,Briarlake Elem,1752,143,521,414,1,1079,1079,
11,DeKalb,Briarwood,2428,182,782,437,2,1403,1403,
12,DeKalb,Brockett Elem,2752,171,821,537,6,1535,1535,
13,DeKalb,Briarcliff,3122,166,744,749,6,1665,1665,
14,DeKalb,Brockett,2681,232,740,501,4,1477,1477,
15,DeKalb,Brookhaven,3444,283,1200,621,2,2106,2106,
16,DeKalb,Browns Mill Elem,3829,281,1316,776,6,2379,2379,
17,DeKalb,Bouldercrest Road,2004,147,698,313,0,1158,1158,
18,DeKalb,Bethune Middle,4838,310,1193,852,13,2368,2368,
19,DeKalb,Burgess Elem,3493,182,1223,737,6,2148,2148,
20,DeKalb,Columbia Drive,2526,203,527,416,8,1154,1154,
21,DeKalb,Canby Lane Elem,2004,202,486,368,8,1064,1064,
22,DeKalb,Columbia Elem,1794,134,293,204,7,638,638,
23,DeKalb,Cedar Grove Elem,4097,277,1356,680,9,2322,2322,
24,DeKalb,Chamblee,2231,172,764,359,3,1298,1298,
25,DeKalb,Candler-Murphey Candler Elem,3712,277,1280,569,5,2131,2131,
26,DeKalb,Chapel Hill Elem,3349,243,1105,605,7,1960,1960,
27,DeKalb,Chesnut Elem,2363,217,793,349,1,1360,1360,
28,DeKalb,Clairemont West,3264,124,1083,956,4,2167,2167,
29,DeKalb,Clairmont Road,3223,190,851,839,5,1885,1885,
30,DeKalb,Clarkston,3878,351,838,398,9,1596,1596,
31,DeKalb,Clifton,1731,108,469,302,4,883,883,
32,DeKalb,Columbia Middle,2178,140,557,298,6,1001,1001,
33,DeKalb,Coan Recreation Center,4230,195,1425,808,1,2429,2429,
34,DeKalb,Cross Keys High,2260,164,607,452,3,1226,1226,
35,DeKalb,Crossroads,2898,229,781,570,4,1584,1584,
36,DeKalb,Candler,3537,238,929,528,9,1704,1704,
37,DeKalb,Cedar Grove Middle,1896,124,446,229,4,803,803,
38,DeKalb,Cedar Grove South,3962,249,1437,663,4,2353,2353,
39,DeKalb,Covington Hwy,995,49,90,55,5,199,199,
40,DeKalb,Covington,2376,133,668,349,4,1154,1154,
41,DeKalb,Clairemont East,3226,108,1051,1007,4,2170,2170,
42,DeKalb,Coralwood,3153,158,998,872,3,2031,2031,
43,DeKalb,Candler Park,4018,114,1539,1115,2,2770,2770,
44,DeKalb,Clarkston Community Center,2495,215,550,346,7,1118,1118,
45,DeKalb,Chamblee 2,3137,190,1185,598,0,1973,1973,
46,DeKalb,Doraville North,3065,302,735,428,5,1470,1470,
47,DeKalb,Doraville South,1255,127,315,196,2,640,640,
48,DeKalb,Dresden Elem,5141,380,1357,867,5,2609,2609,
49,DeKalb,Decatur,1937,84,807,396,0,1287,1287,
50,DeKalb,Dunaire Elem,2268,178,570,367,7,1122,1122,
51,DeKalb,Dunwoody,3003,171,953,534,7,1665,1665,
52,DeKalb,Dunwoody 2,2044,122,716,347,3,1188,1188,
53,DeKalb,Druid Hills High,2725,138,608,581,1,1328,1328,
54,DeKalb,Dunwoody Library,2570,106,975,491,2,1574,1574,
55,DeKalb,East Lake,4139,215,1400,806,6,2427,2427,
56,DeKalb,Embry Hills,1721,107,506,383,0,996,996,
57,DeKalb,Evansdale Elem,3441,258,1047,658,3,1966,1966,
58,DeKalb,Emory South,3241,188,993,812,6,1999,1999,
59,DeKalb,Emory Road,2290,116,603,379,6,1104,1104,
60,DeKalb,Fairington Elem,5455,413,1420,573,16,2422,2422,
61,DeKalb,Fernbank Elem,2125,120,625,638,1,1384,1384,
62,DeKalb,Flat Shoals Elem,2409,174,559,374,9,1116,1116,
63,DeKalb,Flat Shoals Parkway,3449,193,1207,670,5,2075,2075,
64,DeKalb,Flat Rock Elem,3142,238,1196,479,5,1918,1918,
65,DeKalb,Flat Shoals,2649,181,579,404,7,1171,1171,
66,DeKalb,Flakes Mill Fire Station,2103,113,697,374,6,1190,1190,
67,DeKalb,Flat Shoals Library,2788,227,662,380,3,1272,1272,
68,DeKalb,Freedom Middle,3227,268,776,504,9,1557,1557,
69,DeKalb,Glennwood,2715,80,798,710,5,1593,1593,
