index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,DeKalb,Allgood Elem,2858,44,77,80,0,201,227,896,589,6,1718,6,3,3,0,12,1931,
1,DeKalb,Ashford Park Elem,2432,191,543,156,0,890,103,553,418,1,1075,14,17,8,0,39,2004,
2,DeKalb,Austin,2538,227,572,302,3,1104,69,555,452,1,1077,13,10,8,0,31,2212,
3,DeKalb,Avondale,2906,201,200,137,0,538,236,949,784,1,1970,14,17,10,0,41,2549,
4,DeKalb,Austin Drive,2536,27,39,29,2,97,188,626,452,14,1280,5,8,8,0,21,1398,
5,DeKalb,Ashford Dunwoody Rd,2966,196,594,195,2,987,66,825,576,2,1469,8,19,10,0,37,2493,
6,DeKalb,Ashford Parkside,3664,179,600,267,2,1048,106,832,772,5,1715,8,13,12,0,33,2796,
7,DeKalb,Avondale High,3151,56,127,95,0,278,112,1128,953,4,2197,10,20,7,0,37,2512,
8,DeKalb,Boulevard,4675,48,145,62,1,256,242,1864,1229,2,3337,13,14,17,0,44,3637,
9,DeKalb,Briar Vista Elem,2965,118,198,130,1,447,152,796,835,0,1783,10,12,11,0,33,2263,
10,DeKalb,Briarlake Elem,1752,121,211,144,0,476,90,472,431,1,994,8,11,5,0,24,1494,
11,DeKalb,Briarwood,2428,115,387,112,1,615,110,604,442,4,1160,5,14,11,0,30,1805,
12,DeKalb,Brockett Elem,2752,76,281,192,0,549,136,733,510,7,1386,6,11,11,0,28,1963,
13,DeKalb,Briarcliff,3122,153,311,276,5,745,106,671,791,2,1570,7,12,11,0,30,2345,
14,DeKalb,Brockett,2681,155,249,158,3,565,164,702,489,5,1360,15,11,4,0,30,1955,
15,DeKalb,Brookhaven,3444,243,657,211,1,1112,151,884,594,2,1631,12,21,17,0,50,2793,
16,DeKalb,Browns Mill Elem,3829,24,49,34,0,107,295,1468,889,7,2659,7,3,7,0,17,2783,
17,DeKalb,Bouldercrest Road,2004,14,27,16,0,57,152,766,368,3,1289,2,5,1,0,8,1354,
18,DeKalb,Bethune Middle,4838,39,58,37,4,138,314,1372,994,17,2697,4,6,7,0,17,2852,
19,DeKalb,Burgess Elem,3493,41,88,50,1,180,180,1348,897,7,2432,5,8,11,0,24,2636,
20,DeKalb,Columbia Drive,2526,23,17,21,0,61,213,590,468,8,1279,3,2,5,0,10,1350,
21,DeKalb,Canby Lane Elem,2004,14,24,25,1,64,216,533,432,8,1189,4,4,6,0,14,1267,
22,DeKalb,Columbia Elem,1794,3,18,7,0,28,148,325,244,13,730,1,5,1,0,7,765,
23,DeKalb,Cedar Grove Elem,4097,31,43,20,2,96,275,1471,777,9,2532,9,16,9,0,34,2662,
24,DeKalb,Chamblee,2231,109,310,75,1,495,112,604,405,2,1123,12,15,6,0,33,1651,
25,DeKalb,Candler-Murphey Candler Elem,3712,35,90,56,0,181,269,1408,632,7,2316,9,6,2,0,17,2514,
26,DeKalb,Chapel Hill Elem,3349,22,34,22,1,79,245,1206,703,7,2161,5,8,7,0,20,2260,
27,DeKalb,Chesnut Elem,2363,107,236,75,2,420,178,711,373,0,1262,5,7,4,0,16,1698,
28,DeKalb,Clairemont West,3264,69,156,138,0,363,121,1178,1101,4,2404,7,11,10,0,28,2795,
29,DeKalb,Clairmont Road,3223,93,184,178,0,455,150,837,923,7,1917,6,8,6,0,20,2392,
30,DeKalb,Clarkston,3878,56,89,50,0,195,365,944,427,14,1750,10,11,4,0,25,1970,
31,DeKalb,Clifton,1731,8,26,13,1,48,129,525,341,5,1000,1,3,3,0,7,1055,
32,DeKalb,Columbia Middle,2178,21,30,6,0,57,143,599,353,7,1102,0,4,1,0,5,1164,
33,DeKalb,Coan Recreation Center,4230,34,134,67,1,236,189,1566,923,2,2680,5,25,17,0,47,2963,
34,DeKalb,Cross Keys High,2260,96,260,123,0,479,106,507,490,4,1107,12,10,19,0,41,1627,
35,DeKalb,Crossroads,2898,21,39,31,0,91,230,874,627,7,1738,6,6,4,0,16,1845,
36,DeKalb,Candler,3537,44,70,21,1,136,221,995,613,14,1843,6,11,4,0,21,2000,
37,DeKalb,Cedar Grove Middle,1896,17,20,14,0,51,123,493,265,3,884,3,1,0,1,5,940,
38,DeKalb,Cedar Grove South,3962,21,47,37,0,105,256,1569,755,6,2586,10,13,6,0,29,2720,
39,DeKalb,Covington Hwy,995,3,7,2,0,12,54,101,60,5,220,0,2,1,1,4,236,
40,DeKalb,Covington,2376,48,60,35,0,143,111,682,358,6,1157,6,10,9,0,25,1325,
41,DeKalb,Clairemont East,3226,52,169,109,2,332,87,1116,1165,2,2370,3,17,16,0,36,2738,
42,DeKalb,Coralwood,3153,104,359,233,3,699,108,903,948,2,1961,9,15,15,0,39,2699,
43,DeKalb,Candler Park,4018,52,154,94,0,300,98,1695,1328,2,3123,7,15,17,0,39,3462,
44,DeKalb,Clarkston Community Center,2495,62,99,49,3,213,194,610,389,9,1202,7,3,5,0,15,1430,
45,DeKalb,Chamblee 2,3137,132,513,186,0,831,101,948,603,0,1652,8,14,15,0,37,2520,
46,DeKalb,Doraville North,3065,138,210,121,4,473,262,716,415,5,1398,6,7,12,0,25,1896,
47,DeKalb,Doraville South,1255,79,104,56,1,240,90,290,206,3,589,1,6,5,0,12,841,
48,DeKalb,Dresden Elem,5141,188,463,209,6,866,322,1220,920,4,2466,10,25,15,0,50,3382,
49,DeKalb,Decatur,1937,32,71,34,0,137,73,885,521,1,1480,2,6,4,0,12,1629,
50,DeKalb,Dunaire Elem,2268,40,81,56,1,178,177,614,418,6,1215,3,5,3,0,11,1404,
51,DeKalb,Dunwoody,3003,109,423,172,1,705,122,808,558,7,1495,4,13,14,0,31,2231,
52,DeKalb,Dunwoody 2,2044,120,468,202,4,794,46,541,347,2,936,9,10,8,0,27,1757,
53,DeKalb,Druid Hills High,2725,79,101,103,2,285,115,645,669,2,1431,2,7,9,0,18,1734,
54,DeKalb,Dunwoody Library,2570,99,733,238,1,1071,44,632,451,2,1129,2,14,10,0,26,2226,
55,DeKalb,East Lake,4139,51,151,57,1,260,206,1516,950,7,2679,10,37,7,0,54,2993,
56,DeKalb,Embry Hills,1721,69,232,133,0,434,71,449,397,0,917,4,15,7,0,26,1377,
57,DeKalb,Evansdale Elem,3441,145,398,216,0,759,174,873,671,5,1723,11,16,13,0,40,2522,
58,DeKalb,Emory South,3241,100,216,120,0,436,151,964,909,7,2031,10,10,22,0,42,2509,
59,DeKalb,Emory Road,2290,34,55,59,0,148,119,636,444,7,1206,2,0,3,0,5,1359,
60,DeKalb,Fairington Elem,5455,24,47,32,0,103,437,1575,652,21,2685,4,9,7,0,20,2808,
61,DeKalb,Fernbank Elem,2125,77,144,117,2,340,95,652,773,2,1522,5,8,13,0,26,1888,
62,DeKalb,Flat Shoals Elem,2409,16,20,9,0,45,195,640,431,10,1276,5,4,0,0,9,1330,
63,DeKalb,Flat Shoals Parkway,3449,22,46,9,0,77,191,1309,777,6,2283,5,12,3,0,20,2380,
64,DeKalb,Flat Rock Elem,3142,24,49,21,1,95,237,1317,538,6,2098,5,8,1,1,15,2208,
65,DeKalb,Flat Shoals,2649,21,26,8,1,56,179,648,466,7,1300,1,4,3,0,8,1364,
66,DeKalb,Flakes Mill Fire Station,2103,10,34,26,1,71,112,741,433,6,1292,1,7,3,0,11,1374,
67,DeKalb,Flat Shoals Library,2788,17,26,11,1,55,226,736,427,2,1391,8,4,4,0,16,1462,
