index,County,Precinct,Registered Voters,Emanuel Jones (I) (Dem)_Election Day Votes,Emanuel Jones (I) (Dem)_Advanced Voting Votes,Emanuel Jones (I) (Dem)_Absentee by Mail Votes,Emanuel Jones (I) (Dem)_Provisional Votes,Emanuel Jones (I) (Dem)_Choice Total,Total,
0,DeKalb,Browns Mill Elem,3829,304,1448,863,4,2619,2619,
1,DeKalb,Bethune Middle,4838,327,1344,962,10,2643,2643,
2,DeKalb,Columbia Drive,2526,222,580,462,5,1269,1269,
3,DeKalb,Canby Lane Elem,2004,215,529,439,3,1186,1186,
4,DeKalb,Columbia Elem,1794,144,326,237,5,712,712,
5,DeKalb,Chapel Hill Elem,3349,257,1206,676,6,2145,2145,
6,DeKalb,Columbia Middle,2178,151,591,333,3,1078,1078,
7,DeKalb,Fairington Elem,5455,442,1569,644,2,2657,2657,
8,DeKalb,Flat Shoals Parkway,3449,200,1290,740,2,2232,2232,
9,DeKalb,Flakes Mill Fire Station,2103,121,744,419,3,1287,1287,
10,DeKalb,Flat Shoals Library,2788,240,724,414,2,1380,1380,
11,DeKalb,Harris-Narvie J Harris Elem,4031,176,1600,788,5,2569,2569,
12,DeKalb,Kelley Chapel Road,1337,121,458,318,1,898,898,
13,DeKalb,McWilliams,2517,146,964,553,5,1668,1668,
14,DeKalb,Miller Grove,4747,339,1376,679,4,2398,2398,
15,DeKalb,Mathis-Bob Mathis Elem,2789,224,938,692,2,1856,1856,
16,DeKalb,Oak View Elem,5011,355,1712,743,10,2820,2820,
17,DeKalb,Rainbow Elem,3768,256,1190,837,5,2288,2288,
18,DeKalb,Snapfinger Elem,1894,162,598,496,0,1256,1256,
19,DeKalb,Snapfinger Road N,2705,238,677,465,3,1383,1383,
20,DeKalb,Snapfinger Road S,1960,161,713,430,0,1304,1304,
21,DeKalb,Snapfinger Road,4872,216,2201,1062,6,3485,3485,
22,DeKalb,Toney Elem,1729,152,453,356,3,964,964,
23,DeKalb,Wesley Chapel Library,2922,196,1096,701,6,1999,1999,
