index,County,Precinct,Registered Voters,Rusty Powe (I) (Rep)_Election Day Votes,Rusty Powe (I) (Rep)_Advanced Voting Votes,Rusty Powe (I) (Rep)_Absentee by Mail Votes,Rusty Powe (I) (Rep)_Provisional Votes,Rusty Powe (I) (Rep)_Choice Total,Latasha Copeland (Dem)_Election Day Votes,Latasha Copeland (Dem)_Advanced Voting Votes,Latasha Copeland (Dem)_Absentee by Mail Votes,Latasha Copeland (Dem)_Provisional Votes,Latasha Copeland (Dem)_Choice Total,Total,
0,Grady,Blowing Cave,916,177,299,53,2,531,22,44,14,3,83,614,
1,Grady,Cairo 4th District,2532,69,262,118,0,449,171,609,314,3,1097,1546,
2,Grady,Cairo 5th District,2606,172,711,223,0,1106,105,335,144,3,587,1693,
3,Grady,Duncanville,470,79,128,42,0,249,10,51,47,0,108,357,
4,Grady,Higdon,854,183,162,90,0,435,51,55,68,0,174,609,
5,Grady,Limesink,320,59,115,28,0,202,5,16,16,0,37,239,
6,Grady,Midway,1412,210,438,140,2,790,28,90,68,0,186,976,
7,Grady,Pine Park,1003,171,248,64,2,485,48,96,46,0,190,675,
8,Grady,Ragan,475,112,116,56,0,284,6,39,31,0,76,360,
9,Grady,Spence,758,211,193,76,0,480,16,17,19,0,52,532,
10,Grady,Spring Hill,561,123,215,57,0,395,3,11,17,0,31,426,
11,Grady,Whigham,1226,222,327,98,0,647,39,83,44,0,166,813,
12,Grady,Woodland,2309,313,920,230,0,1463,38,112,61,0,211,1674,
