index,County,Precinct,Registered Voters,"Charles E. """"Chuck"""" Martin (I) (Rep)_Election Day Votes","Charles E. """"Chuck"""" Martin (I) (Rep)_Advanced Voting Votes","Charles E. """"Chuck"""" Martin (I) (Rep)_Absentee by Mail Votes","Charles E. """"Chuck"""" Martin (I) (Rep)_Provisional Votes","Charles E. """"Chuck"""" Martin (I) (Rep)_Choice Total",Jason T. Hayes (Dem)_Election Day Votes,Jason T. Hayes (Dem)_Advanced Voting Votes,Jason T. Hayes (Dem)_Absentee by Mail Votes,Jason T. Hayes (Dem)_Provisional Votes,Jason T. Hayes (Dem)_Choice Total,Total,
0,Fulton,AP01A,5236,191,1384,495,0,2070,100,1123,681,4,1908,3978,
1,Fulton,AP01B,1281,38,265,103,5,411,32,265,138,5,440,851,
2,Fulton,AP01C,2409,88,705,195,7,995,52,505,289,4,850,1845,
3,Fulton,AP01D,1015,33,197,75,0,305,37,203,128,0,368,673,
4,Fulton,AP021,3408,172,969,268,1,1410,97,717,295,3,1112,2522,
5,Fulton,AP022,2507,89,521,210,0,820,87,472,341,0,900,1720,
6,Fulton,AP05,4776,287,1290,514,2,2093,81,947,581,5,1614,3707,
7,Fulton,AP06,1967,123,676,193,0,992,31,329,190,0,550,1542,
8,Fulton,AP07A,3910,196,930,329,5,1460,102,751,447,3,1303,2763,
9,Fulton,AP09A,4437,235,1046,414,4,1699,114,988,570,5,1677,3376,
10,Fulton,AP09B,925,41,169,54,0,264,19,236,157,0,412,676,
11,Fulton,AP10,992,48,351,101,19,519,23,157,91,13,284,803,
12,Fulton,AP12A,746,30,130,38,2,200,37,164,77,10,288,488,
13,Fulton,AP12C,2367,103,713,205,9,1030,56,431,191,7,685,1715,
14,Fulton,AP14,3232,106,878,297,5,1286,63,708,455,3,1229,2515,
15,Fulton,JC04B,334,8,53,27,0,88,6,88,38,0,132,220,
16,Fulton,JC15,959,36,188,53,0,277,31,259,110,0,400,677,
17,Fulton,JC16,2707,133,720,187,0,1040,61,604,340,1,1006,2046,
