index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Forsyth,01 Big Creek,11222,583,4059,1995,4,6641,176,1212,550,0,1938,8579,
1,Forsyth,02 Brandywine,4500,452,1258,687,2,2399,134,341,226,0,701,3100,
2,Forsyth,03 Browns Bridge,10740,746,3873,1243,4,5866,184,1206,380,2,1772,7638,
3,Forsyth,04 Chestatee,6776,506,2442,667,2,3617,136,909,231,1,1277,4894,
4,Forsyth,05 Coal Mountain,7852,554,2928,765,1,4248,183,1045,243,1,1472,5720,
5,Forsyth,06 Crossroads,7061,452,2676,572,1,3701,145,860,185,0,1190,4891,
6,Forsyth,07 Cumming,6281,359,2047,732,1,3139,100,653,252,1,1006,4145,
7,Forsyth,08 Mashburn,8296,546,3074,1191,2,4813,174,967,383,0,1524,6337,
8,Forsyth,10 Midway,11631,586,4784,1580,4,6954,176,1568,460,0,2204,9158,
9,Forsyth,15 Heardsville,8091,543,3065,931,0,4539,199,1044,252,0,1495,6034,
10,Forsyth,16 Otwell,6333,405,2225,810,1,3441,109,807,256,1,1173,4614,
11,Forsyth,19 Old Atlanta,3739,189,1437,566,0,2192,53,481,117,0,651,2843,
12,Forsyth,21 South Forsyth,8318,322,3320,1336,3,4981,85,973,377,0,1435,6416,
13,Forsyth,25 Windermere,9714,514,3849,1336,2,5701,160,1168,377,0,1705,7406,
14,Forsyth,27 Concord,9858,760,3766,917,3,5446,236,1432,298,0,1966,7412,
15,Forsyth,29 Polo,11222,689,3877,1794,0,6360,217,1206,543,0,1966,8326,
16,Forsyth,34 Fowler,4965,341,1744,745,0,2830,96,524,224,1,845,3675,
17,Forsyth,35 Johns Creek,8444,318,3012,1543,1,4874,95,908,462,0,1465,6339,
18,Forsyth,36 Nichols,6989,358,2860,967,4,4189,103,876,302,0,1281,5470,
19,Forsyth,37 Sawnee,11952,553,4729,1624,5,6911,150,1569,432,1,2152,9063,
