index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Harris,Cataula,2898,622,822,251,1,1696,110,251,219,0,580,17,3,8,0,28,2304,
1,Harris,Ellerslie,4211,818,1152,356,0,2326,153,467,398,0,1018,16,11,9,0,36,3380,
2,Harris,Goodman,1649,251,340,139,0,730,161,144,146,1,452,4,4,4,0,12,1194,
3,Harris,Hamilton,2739,426,747,165,4,1342,157,314,246,1,718,14,12,4,0,30,2090,
4,Harris,Lower 19th,2570,645,690,219,2,1556,77,172,209,0,458,13,6,4,0,23,2037,
5,Harris,Mulberry Grove,2908,572,996,274,0,1842,61,198,165,0,424,10,4,13,0,27,2293,
6,Harris,Pine Mountain Valley,1121,408,216,78,2,704,52,46,50,1,149,4,1,1,0,6,859,
7,Harris,Skinner,894,250,108,71,0,429,113,50,90,2,255,4,1,1,0,6,690,
8,Harris,Upper 19th,1628,424,508,148,2,1082,59,83,68,0,210,5,0,5,0,10,1302,
9,Harris,Valley Plains,785,253,114,55,0,422,76,39,64,0,179,2,0,0,0,2,603,
10,Harris,Waverly Hall,2853,521,639,230,2,1392,167,261,302,1,731,5,6,6,0,17,2140,
11,Harris,Whitesville,1370,402,295,101,0,798,92,81,110,0,283,9,2,7,0,18,1099,
