index,County,Precinct,Registered Voters,Bruce Williamson (I) (Rep)_Election Day Votes,Bruce Williamson (I) (Rep)_Advanced Voting Votes,Bruce Williamson (I) (Rep)_Absentee by Mail Votes,Bruce Williamson (I) (Rep)_Provisional Votes,Bruce Williamson (I) (Rep)_Choice Total,Debbie Reed (Dem)_Election Day Votes,Debbie Reed (Dem)_Advanced Voting Votes,Debbie Reed (Dem)_Absentee by Mail Votes,Debbie Reed (Dem)_Provisional Votes,Debbie Reed (Dem)_Choice Total,Total,
0,Walton,Whatley,1254,244,503,137,0,884,23,45,44,0,112,996,
1,Walton,Walker Park,3858,522,1444,403,0,2369,94,197,167,0,458,2827,
2,Walton,Gratis,1243,331,442,141,0,914,19,37,53,0,109,1023,
3,Walton,Between,4925,255,1590,343,0,2188,39,265,188,0,492,2680,
4,Walton,Walnut Grove,2661,498,919,209,0,1626,37,143,99,0,279,1905,
5,Walton,Social Circle,4604,719,1292,337,0,2348,216,379,301,0,896,3244,
6,Walton,South Monroe,3910,266,1210,333,0,1809,103,397,201,0,701,2510,
7,Walton,North Monroe,4818,315,799,250,0,1364,277,667,487,0,1431,2795,
8,Walton,Broken Arrow,4380,580,1653,401,0,2634,63,286,213,0,562,3196,
9,Walton,Bay Creek,3401,17,63,21,0,101,2,13,9,0,24,125,
10,Walton,E Monroe,4119,345,831,224,0,1400,208,439,243,0,890,2290,
11,Walton,W Monroe,2027,238,852,211,0,1301,46,143,89,0,278,1579,
12,Walton,Mountain,1657,280,587,160,0,1027,38,79,52,0,169,1196,
13,Walton,Jersey,1970,666,589,174,0,1429,33,63,49,0,145,1574,
14,Walton,Blasingame,1115,401,316,98,0,815,30,33,33,0,96,911,
15,Walton,Good Hope,2149,630,640,161,0,1431,47,95,72,0,214,1645,
