index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Worth,Sylvester,3006,118,412,86,0,616,240,461,344,0,1045,3,9,3,0,15,1676,
1,Worth,Scooterville,603,199,148,33,0,380,8,8,12,0,28,1,0,0,0,1,409,
2,Worth,Minton,543,192,155,36,0,383,6,11,12,0,29,0,0,0,0,0,412,
3,Worth,Bridgeboro,1286,299,315,75,0,689,41,54,39,0,134,4,0,3,0,7,830,
4,Worth,County Line,887,178,190,47,0,415,11,35,37,0,83,0,0,0,0,0,498,
5,Worth,Isabella,1424,267,503,109,0,879,26,70,30,0,126,6,3,1,0,10,1015,
6,Worth,Piney Woods,336,48,63,16,0,127,21,41,21,0,83,0,0,0,0,0,210,
7,Worth,Sylvester East,1406,173,443,93,0,709,38,117,70,0,225,2,7,0,0,9,943,
8,Worth,Poulan,887,228,208,49,0,485,35,42,35,0,112,0,2,0,0,2,599,
9,Worth,Sumner,871,220,194,48,0,462,33,37,43,0,113,0,1,1,0,2,577,
10,Worth,Shingler,554,185,154,36,0,375,8,19,18,0,45,1,0,0,0,1,421,
11,Worth,Red Rock,1287,281,247,57,0,585,41,49,62,0,152,4,1,1,0,6,743,
12,Worth,Doles,449,157,93,34,0,284,6,15,9,0,30,0,2,0,0,2,316,
13,Worth,Oakfield,229,57,41,6,0,104,5,16,26,0,47,0,1,0,0,1,152,
14,Worth,Warwick,701,177,119,41,0,337,62,19,62,0,143,1,2,1,0,4,484,
