index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Worth,Sylvester,3006,245,592,270,0,1107,98,216,138,0,452,1559,
1,Worth,Scooterville,603,120,83,28,0,231,78,60,9,0,147,378,
2,Worth,Minton,543,116,102,24,0,242,66,53,18,0,137,379,
3,Worth,Bridgeboro,1286,210,252,59,0,521,118,106,45,0,269,790,
4,Worth,County Line,887,116,136,48,0,300,68,80,29,0,177,477,
5,Worth,Isabella,1424,191,340,79,0,610,97,196,51,0,344,954,
6,Worth,Piney Woods,336,51,78,25,0,154,17,23,9,0,49,203,
7,Worth,Sylvester East,1406,144,383,94,0,621,55,158,54,0,267,888,
8,Worth,Poulan,887,168,165,43,0,376,83,69,36,0,188,564,
9,Worth,Sumner,871,159,135,40,0,334,76,87,36,0,199,533,
10,Worth,Shingler,554,114,110,28,0,252,66,53,18,0,137,389,
11,Worth,Red Rock,1287,214,172,77,0,463,92,107,33,0,232,695,
12,Worth,Doles,449,96,65,22,0,183,62,35,16,0,113,296,
13,Worth,Oakfield,229,44,35,23,0,102,18,19,7,0,44,146,
14,Worth,Warwick,701,148,92,69,0,309,83,39,28,0,150,459,
