index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Paulding,Burnt Hickory Park,6242,604,2781,595,4,3984,105,474,280,2,861,49,59,14,0,122,4967,
1,Paulding,Crossroads Library,3662,316,1479,409,1,2205,98,405,322,0,825,19,38,17,1,75,3105,
2,Paulding,Shelton Elementary,5095,455,1628,405,3,2491,174,789,460,1,1424,29,46,15,0,90,4005,
3,Paulding,Russom Elementary,8243,686,2743,983,4,4416,226,1023,883,3,2135,33,88,41,1,163,6714,
4,Paulding,Paulding Sr Center,5972,496,1786,404,6,2692,201,881,524,2,1608,29,75,27,1,132,4432,
5,Paulding,Legacy Bapt Church,4443,305,1074,441,1,1821,147,599,416,4,1166,18,38,33,0,89,3076,
6,Paulding,Watson Govt Cmplx,10774,617,2675,801,8,4101,381,1597,935,3,2916,65,129,60,0,254,7271,
7,Paulding,West Ridge Church,11546,1010,3600,1116,4,5730,327,1288,955,1,2571,58,121,72,0,251,8552,
8,Paulding,Events Place,4923,220,751,288,3,1262,257,1151,741,3,2152,18,38,28,0,84,3498,
9,Paulding,Poplar Sprgs Bapt Church,4825,257,931,284,0,1472,247,998,558,1,1804,25,32,22,0,79,3355,
10,Paulding,D Wright Innovation Ctr,7137,488,2202,361,2,3053,257,1067,600,1,1925,25,68,33,0,126,5104,
11,Paulding,Nebo Elem School,10070,1069,3218,738,4,5029,279,932,671,6,1888,62,120,49,1,232,7149,
12,Paulding,White Oak Park,5833,470,1641,411,6,2528,221,744,468,3,1436,48,34,36,0,118,4082,
13,Paulding,Mulberry Rock Park,5911,697,2305,570,3,3575,119,375,250,1,745,17,60,18,0,95,4415,
14,Paulding,Beulahland Baptist Church,2547,359,873,173,3,1408,60,206,131,0,397,13,22,13,0,48,1853,
15,Paulding,Paulding County Airport,4132,521,1324,310,3,2158,110,329,227,2,668,39,41,25,0,105,2931,
16,Paulding,Picketts Mill Baptist Church,2748,292,950,268,0,1510,80,284,251,1,616,14,22,15,0,51,2177,
17,Paulding,Taylor Farm Park,2761,159,767,276,0,1202,114,403,204,0,721,7,29,14,0,50,1973,
18,Paulding,Dobbins Middle School,8081,397,1981,468,2,2848,341,1593,961,2,2897,36,68,40,0,144,5889,
