index,County,Precinct,Registered Voters,"Emory Dunahoo, Jr. (I) (Rep)_Election Day Votes","Emory Dunahoo, Jr. (I) (Rep)_Advanced Voting Votes","Emory Dunahoo, Jr. (I) (Rep)_Absentee by Mail Votes","Emory Dunahoo, Jr. (I) (Rep)_Provisional Votes","Emory Dunahoo, Jr. (I) (Rep)_Choice Total",Leigh Miller (Dem)_Election Day Votes,Leigh Miller (Dem)_Advanced Voting Votes,Leigh Miller (Dem)_Absentee by Mail Votes,Leigh Miller (Dem)_Provisional Votes,Leigh Miller (Dem)_Choice Total,Total,
0,Hall,Wilson,0,70,229,69,0,368,29,66,45,0,140,508,
1,Hall,Chicopee,0,54,83,31,0,168,46,74,36,0,156,324,
2,Hall,Oakwood I,0,222,559,181,0,962,160,364,157,0,681,1643,
3,Hall,Oakwood II,0,390,1416,457,0,2263,104,376,252,0,732,2995,
4,Hall,Flowery Branch I,0,426,1494,473,0,2393,100,397,310,0,807,3200,
5,Hall,Flowery Branch II,0,393,1062,253,0,1708,113,341,254,0,708,2416,
6,Hall,Roberts,0,305,1376,544,0,2225,50,269,255,0,574,2799,
7,Hall,Morgan I,0,0,1,0,0,1,0,1,0,0,1,2,
8,Hall,Morgan II,0,345,1560,444,0,2349,165,537,319,0,1021,3370,
9,Hall,Candler,0,486,1692,484,0,2662,237,581,346,0,1164,3826,
10,Hall,Tadmore,0,225,503,156,0,884,218,359,181,0,758,1642,
11,Hall,Gainesville II,0,1,7,1,0,9,17,32,19,0,68,77,
12,Hall,Gainesville IV,0,18,37,16,0,71,31,45,17,0,93,164,
13,Hall,Friendship III,0,287,1500,291,0,2078,112,458,259,0,829,2907,
14,Hall,Friendship IV,0,45,421,94,0,560,9,156,94,0,259,819,
