index,County,Precinct,Registered Voters,Matt Dubnik (I) (Rep)_Election Day Votes,Matt Dubnik (I) (Rep)_Advanced Voting Votes,Matt Dubnik (I) (Rep)_Absentee by Mail Votes,Matt Dubnik (I) (Rep)_Provisional Votes,Matt Dubnik (I) (Rep)_Choice Total,Pat Calmes (Dem)_Election Day Votes,Pat Calmes (Dem)_Advanced Voting Votes,Pat Calmes (Dem)_Absentee by Mail Votes,Pat Calmes (Dem)_Provisional Votes,Pat Calmes (Dem)_Choice Total,Total,
0,Hall,Wilson,0,282,1466,893,0,2641,120,344,516,0,980,3621,
1,Hall,Chicopee,0,181,700,211,0,1092,141,405,205,0,751,1843,
2,Hall,Oakwood I,0,0,1,0,0,1,0,0,0,0,0,1,
3,Hall,Glade,0,198,645,194,0,1037,63,184,161,0,408,1445,
4,Hall,Whelchel,0,181,707,249,0,1137,32,136,119,0,287,1424,
5,Hall,West Whelchel,0,343,1489,707,0,2539,59,237,291,0,587,3126,
6,Hall,Gainesville I,0,364,1002,471,0,1837,132,402,323,0,857,2694,
7,Hall,Gainesville II,0,67,103,83,0,253,262,536,480,0,1278,1531,
8,Hall,Gainesville III,0,178,413,171,0,762,268,429,233,0,930,1692,
9,Hall,Gainesville IV,0,181,576,224,0,981,72,275,199,0,546,1527,
10,Hall,Gainesville V,0,137,337,114,0,588,69,146,107,0,322,910,
