index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Clayton,Ellenwood 1,3020,24,62,34,0,120,217,1161,655,5,2038,4,6,4,0,14,2172,
1,Clayton,Ellenwood 2,3273,34,84,49,1,168,227,1307,599,2,2135,8,9,4,0,21,2324,
2,Clayton,Forest Park 1,3566,85,144,84,1,314,375,489,352,11,1227,12,7,5,0,24,1565,
3,Clayton,Forest Park 2,2821,87,93,89,2,271,282,548,354,11,1195,8,6,4,0,18,1484,
4,Clayton,Forest Park 3,2845,79,132,62,2,275,241,455,353,20,1069,2,7,5,0,14,1358,
5,Clayton,Forest Park 4,1783,83,184,78,2,347,152,341,162,0,655,5,6,5,0,16,1018,
6,Clayton,Forest Park 5,3924,91,191,101,0,383,393,717,377,20,1507,5,3,5,0,13,1903,
7,Clayton,Forest Park 6,1463,52,175,75,1,303,103,291,121,4,519,4,5,0,0,9,831,
8,Clayton,Jonesboro 1,3244,39,73,57,0,169,263,933,592,5,1793,8,10,6,0,24,1986,
9,Clayton,Jonesboro 2,4345,42,67,43,3,155,364,1276,735,10,2385,8,7,10,0,25,2565,
10,Clayton,Jonesboro 3,4107,85,238,135,2,460,264,1146,761,7,2178,4,10,2,0,16,2654,
11,Clayton,Jonesboro 4,2574,47,94,67,0,208,212,499,257,6,974,4,7,4,0,15,1197,
12,Clayton,Jonesboro 5,2064,83,146,77,0,306,214,511,297,1,1023,4,6,3,0,13,1342,
13,Clayton,Jonesboro 6,2574,121,498,254,1,874,105,503,490,3,1101,3,9,11,0,23,1998,
14,Clayton,Jonesboro 7,3174,50,206,123,0,379,266,871,475,6,1618,6,9,2,0,17,2014,
15,Clayton,Jonesboro 8,3947,48,96,34,0,178,405,981,371,4,1761,6,5,3,0,14,1953,
16,Clayton,Jonesboro 9,1759,55,43,56,0,154,128,313,175,6,622,1,4,7,0,12,788,
17,Clayton,Jonesboro 10,3398,57,88,63,1,209,321,676,395,5,1397,11,4,9,0,24,1630,
18,Clayton,Jonesboro 11,3863,96,275,151,2,524,240,1113,702,4,2059,5,6,10,0,21,2604,
19,Clayton,Jonesboro 12,3067,38,65,39,0,142,294,833,431,17,1575,8,2,4,0,14,1731,
20,Clayton,Jonesboro 13,2140,80,94,42,0,216,207,651,357,4,1219,2,3,4,0,9,1444,
21,Clayton,Jonesboro 14,4116,116,424,287,2,829,238,1179,729,3,2149,6,12,11,0,29,3007,
22,Clayton,Jonesboro 15,2872,23,75,45,1,144,248,652,246,8,1154,3,7,5,1,16,1314,
23,Clayton,Jonesboro 16,2560,63,72,68,0,203,271,533,324,5,1133,12,7,2,0,21,1357,
24,Clayton,Jonesboro 17,3359,46,65,39,0,150,283,776,490,11,1560,6,3,5,0,14,1724,
25,Clayton,Jonesboro 18,3301,50,129,74,0,253,320,882,413,6,1621,1,4,7,0,12,1886,
26,Clayton,Jonesboro 19,3299,45,91,45,0,181,273,880,514,11,1678,4,11,8,0,23,1882,
27,Clayton,Lake City,3217,43,146,57,2,248,261,795,380,7,1443,2,5,5,1,13,1704,
28,Clayton,Lovejoy 1,4061,77,192,83,0,352,296,1331,620,2,2249,9,8,7,0,24,2625,
29,Clayton,Lovejoy 2,3611,48,151,64,3,266,228,1075,461,7,1771,5,8,6,0,19,2056,
30,Clayton,Lovejoy 3,1666,21,99,76,0,196,113,600,348,3,1064,3,1,5,0,9,1269,
31,Clayton,Lovejoy 4,4149,42,147,63,1,253,274,1518,634,3,2429,5,14,9,0,28,2710,
32,Clayton,Lovejoy 5,3451,39,88,51,1,179,283,1013,489,15,1800,3,5,3,0,11,1990,
33,Clayton,Lovejoy 6,3708,39,130,78,2,249,276,1218,584,9,2087,1,10,7,0,18,2354,
34,Clayton,Lovejoy 7,2779,62,156,35,2,255,221,756,218,6,1201,7,3,1,0,11,1467,
35,Clayton,Morrow 1,3328,57,87,57,1,202,388,731,357,2,1478,10,4,3,0,17,1697,
36,Clayton,Morrow 2,2081,77,280,109,2,468,112,449,226,2,789,2,5,3,0,10,1267,
37,Clayton,Morrow 3,2407,61,219,109,1,390,157,573,330,4,1064,5,6,4,0,15,1469,
38,Clayton,Morrow 4,2112,50,138,72,0,260,182,446,261,3,892,4,5,5,0,14,1166,
39,Clayton,Morrow 5,3056,47,120,74,0,241,256,1065,582,3,1906,9,8,6,0,23,2170,
40,Clayton,Morrow 6,3030,70,159,105,1,335,275,907,410,5,1597,3,8,4,0,15,1947,
41,Clayton,Morrow 7,2142,46,122,49,1,218,248,445,229,6,928,7,6,3,0,16,1162,
42,Clayton,Morrow 8,3185,39,85,48,1,173,260,1090,528,10,1888,5,11,8,0,24,2085,
43,Clayton,Morrow 9,1509,35,72,31,1,139,112,390,216,0,718,5,3,5,0,13,870,
44,Clayton,Morrow 10,2342,41,164,42,0,247,147,757,276,3,1183,1,9,2,0,12,1442,
45,Clayton,Morrow 11,2295,39,92,34,2,167,224,669,285,1,1179,6,3,2,0,11,1357,
46,Clayton,Oak 1,2635,33,29,14,0,76,313,732,284,3,1332,7,3,4,0,14,1422,
47,Clayton,Oak 2,1974,22,32,21,3,78,231,420,226,8,885,3,5,1,0,9,972,
48,Clayton,Oak 3,2731,12,35,18,0,65,325,660,373,6,1364,4,4,4,0,12,1441,
49,Clayton,Oak 4,4233,39,63,35,0,137,426,1111,485,9,2031,3,12,1,0,16,2184,
50,Clayton,Oak 5,1795,17,27,8,1,53,172,395,83,7,657,2,2,1,0,5,715,
51,Clayton,Panhandle 1,2895,47,116,64,1,228,226,1028,562,1,1817,5,6,6,0,17,2062,
52,Clayton,Panhandle 2,3382,98,284,107,1,490,265,1107,475,5,1852,3,9,7,0,19,2361,
53,Clayton,Riverdale 1,2330,20,61,42,1,124,167,834,431,8,1440,7,2,0,0,9,1573,
54,Clayton,Riverdale 2,3431,37,50,33,4,124,298,900,548,26,1772,6,7,6,1,20,1916,
55,Clayton,Riverdale 3,3650,44,59,42,0,145,325,1096,605,7,2033,5,5,9,0,19,2197,
56,Clayton,Riverdale 4,4362,42,112,71,0,225,426,975,647,10,2058,8,6,8,0,22,2305,
57,Clayton,Riverdale 5,2970,44,72,46,1,163,309,809,422,12,1552,4,5,7,0,16,1731,
58,Clayton,Riverdale 6,3661,67,97,70,1,235,335,630,381,11,1357,7,7,8,0,22,1614,
59,Clayton,Riverdale 7,3020,53,99,60,1,213,288,505,315,14,1122,7,5,5,0,17,1352,
60,Clayton,Riverdale 8,2895,35,100,70,0,205,236,883,598,5,1722,6,3,3,0,12,1939,
61,Clayton,Riverdale 9,2653,40,84,70,0,194,267,707,374,7,1355,0,6,1,0,7,1556,
62,Clayton,Riverdale 10,3176,19,28,12,0,59,329,686,296,10,1321,7,5,2,0,14,1394,
63,Clayton,Riverdale 11,1881,21,31,19,0,71,157,620,323,1,1101,4,4,2,0,10,1182,
64,Clayton,Riverdale 12,3065,61,58,56,0,175,266,904,520,4,1694,13,4,4,0,21,1890,
