index,County,Precinct,Registered Voters,"Wilkie Smith, III (I) (Rep)_Election Day Votes","Wilkie Smith, III (I) (Rep)_Advanced Voting Votes","Wilkie Smith, III (I) (Rep)_Absentee by Mail Votes","Wilkie Smith, III (I) (Rep)_Provisional Votes","Wilkie Smith, III (I) (Rep)_Choice Total","Twany """"Buffy"""" Edwards (Dem)_Election Day Votes","Twany """"Buffy"""" Edwards (Dem)_Advanced Voting Votes","Twany """"Buffy"""" Edwards (Dem)_Absentee by Mail Votes","Twany """"Buffy"""" Edwards (Dem)_Provisional Votes","Twany """"Buffy"""" Edwards (Dem)_Choice Total",Total,
0,Sumter,Agri-Center,2059,162,678,144,0,984,60,235,153,1,449,1433,
1,Sumter,Airport,1767,146,573,155,0,874,67,263,141,0,471,1345,
2,Sumter,Andersonville,434,172,85,24,1,282,21,27,27,0,75,357,
3,Sumter,Browns Mill,929,154,296,72,1,523,30,82,50,0,162,685,
4,Sumter,Concord,376,153,82,26,9,270,4,19,7,0,30,300,
5,Sumter,GSW Conf Center,3044,165,893,280,0,1338,111,410,223,2,746,2084,
6,Sumter,Leslie,1687,311,452,115,1,879,85,111,108,1,305,1184,
7,Sumter,Plains,1061,190,236,92,1,519,81,99,75,0,255,774,
8,Sumter,Rec Dept,2667,88,302,140,0,530,214,580,397,1,1192,1722,
9,Sumter,Reese Park,3064,91,334,153,0,578,210,564,365,0,1139,1717,
10,Sumter,Thompson,712,110,112,53,0,275,54,65,40,1,160,435,
