index,County,Precinct,Registered Voters,Dwight Bernard Harris_Election Day Votes,Dwight Bernard Harris_Advanced Voting Votes,Dwight Bernard Harris_Absentee by Mail Votes,Dwight Bernard Harris_Provisional Votes,Dwight Bernard Harris_Choice Total,Sylvia C. Roland_Election Day Votes,Sylvia C. Roland_Advanced Voting Votes,Sylvia C. Roland_Absentee by Mail Votes,Sylvia C. Roland_Provisional Votes,Sylvia C. Roland_Choice Total,Total,
0,Sumter,Agri-Center,2059,7,12,5,0,24,8,26,1,0,35,59,
1,Sumter,Airport,1767,43,176,63,0,282,53,240,59,0,352,634,
2,Sumter,Browns Mill,929,0,0,0,0,0,0,0,0,0,0,0,
3,Sumter,GSW Conf Center,3044,69,244,92,0,405,40,350,156,0,546,951,
