index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Sumter,Agri-Center,2059,151,639,232,1,1023,61,223,51,0,335,1358,
1,Sumter,Airport,1767,157,598,234,0,989,48,204,54,0,306,1295,
2,Sumter,Andersonville,434,123,77,44,0,244,50,31,6,1,88,332,
3,Sumter,Browns Mill,929,122,266,97,0,485,45,84,17,0,146,631,
4,Sumter,Concord,376,121,70,20,9,220,27,25,8,0,60,280,
5,Sumter,GSW Conf Center,3044,198,939,376,2,1515,64,288,99,0,451,1966,
6,Sumter,Leslie,1687,255,382,166,1,804,105,131,44,1,281,1085,
7,Sumter,Plains,1061,179,212,115,1,507,71,105,40,0,216,723,
8,Sumter,Rec Dept,2667,218,649,417,1,1285,79,196,96,0,371,1656,
9,Sumter,Reese Park,3064,211,684,391,0,1286,78,194,102,0,374,1660,
10,Sumter,Thompson,712,119,133,67,1,320,35,39,15,0,89,409,
