index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Richmond,101,896,136,227,163,2,528,43,36,16,1,96,624,
1,Richmond,102,1278,126,162,165,2,455,56,52,52,0,160,615,
2,Richmond,103,1428,131,218,206,2,557,33,77,71,0,181,738,
3,Richmond,104,2976,312,399,435,3,1149,135,156,141,2,434,1583,
4,Richmond,105,832,93,190,131,1,415,24,41,30,0,95,510,
5,Richmond,106,1182,130,121,112,0,363,49,31,32,1,113,476,
6,Richmond,107,1800,233,405,335,1,974,64,101,70,0,235,1209,
7,Richmond,108,517,60,88,92,0,240,16,25,25,0,66,306,
8,Richmond,109,1052,101,221,153,0,475,28,63,47,1,139,614,
9,Richmond,111,1578,178,255,244,1,678,43,72,55,0,170,848,
10,Richmond,112,882,53,158,201,1,413,9,42,36,1,88,501,
11,Richmond,114,856,85,101,113,1,300,43,48,31,0,122,422,
12,Richmond,201,581,187,182,182,2,553,63,84,44,2,193,746,
13,Richmond,115,1332,62,64,65,0,191,28,20,11,0,59,250,
14,Richmond,202,4492,503,713,538,4,1758,173,260,172,4,609,2367,
15,Richmond,203,991,98,131,152,2,383,37,34,39,1,111,494,
16,Richmond,204,1578,232,370,258,2,862,54,72,50,1,177,1039,
17,Richmond,207,2705,275,346,330,6,957,87,113,99,2,301,1258,
18,Richmond,208,2651,265,405,352,2,1024,108,148,83,2,341,1365,
19,Richmond,210,1507,149,269,319,2,739,37,92,61,2,192,931,
20,Richmond,301,2409,374,698,490,1,1563,71,137,55,1,264,1827,
21,Richmond,302,1032,121,211,131,0,463,47,59,27,0,133,596,
22,Richmond,303,1417,157,492,282,1,932,38,82,32,0,152,1084,
23,Richmond,304,365,58,98,80,0,236,7,14,10,0,31,267,
24,Richmond,305,428,50,170,107,0,327,2,20,19,1,42,369,
25,Richmond,306,3934,378,969,692,3,2042,102,209,121,0,432,2474,
26,Richmond,307,1642,206,449,347,0,1002,33,76,26,0,135,1137,
27,Richmond,308,622,81,142,94,1,318,12,32,11,0,55,373,
28,Richmond,309,3340,310,974,669,2,1955,76,242,133,1,452,2407,
29,Richmond,310,5163,509,1399,909,3,2820,129,311,187,0,627,3447,
30,Richmond,401,2093,193,561,416,0,1170,65,171,84,0,320,1490,
31,Richmond,402,3311,375,451,441,3,1270,119,141,115,1,376,1646,
32,Richmond,404,1748,205,378,294,3,880,64,121,83,1,269,1149,
33,Richmond,405,4424,286,1192,900,3,2381,103,356,255,0,714,3095,
34,Richmond,406,3221,303,856,680,1,1840,76,221,147,2,446,2286,
35,Richmond,501,3549,289,623,608,1,1521,130,189,206,3,528,2049,
36,Richmond,502,4138,405,757,716,6,1884,137,255,188,2,582,2466,
37,Richmond,503,4021,334,774,650,4,1762,112,274,183,0,569,2331,
38,Richmond,504,2339,294,368,281,4,947,93,99,71,1,264,1211,
39,Richmond,506,416,38,83,46,0,167,15,32,8,1,56,223,
40,Richmond,507,968,132,204,142,0,478,46,59,24,0,129,607,
41,Richmond,509,2172,185,493,375,3,1056,70,181,103,2,356,1412,
42,Richmond,601,3988,359,801,499,11,1670,117,226,145,2,490,2160,
43,Richmond,603,3570,517,657,521,1,1696,150,180,124,1,455,2151,
44,Richmond,604,1811,247,314,243,0,804,92,72,49,0,213,1017,
45,Richmond,605,3880,405,673,553,2,1633,137,249,152,0,538,2171,
46,Richmond,607,1812,145,421,322,1,889,66,139,106,0,311,1200,
47,Richmond,608,1472,234,306,188,1,729,89,104,61,0,254,983,
48,Richmond,701,2403,307,683,471,2,1463,86,130,61,0,277,1740,
49,Richmond,702,1943,313,503,292,0,1108,80,102,41,0,223,1331,
50,Richmond,703,4644,571,1102,628,2,2303,123,229,109,3,464,2767,
51,Richmond,705,2276,273,617,471,2,1363,56,124,56,0,236,1599,
52,Richmond,706,3315,300,1062,620,1,1983,59,219,96,0,374,2357,
53,Richmond,707,2122,297,529,261,3,1090,70,116,47,0,233,1323,
54,Richmond,708,305,22,119,44,1,186,3,27,4,0,34,220,
55,Richmond,709,576,57,147,109,0,313,15,38,28,0,81,394,
56,Richmond,801,523,135,48,70,1,254,57,18,16,0,91,345,
57,Richmond,801B,523,167,38,55,0,260,52,7,24,0,83,343,
58,Richmond,802,3251,624,482,389,3,1498,213,166,126,1,506,2004,
59,Richmond,803,252,30,33,24,0,87,4,11,4,1,20,107,
60,Richmond,804,2096,268,509,281,0,1058,69,142,67,1,279,1337,
61,Richmond,804H,2863,418,629,410,4,1461,120,168,115,1,404,1865,
62,Richmond,805,798,106,190,112,1,409,23,73,26,0,122,531,
63,Richmond,806,1212,198,248,154,1,601,68,78,43,0,189,790,
64,Richmond,807,1578,150,300,221,0,671,57,99,64,1,221,892,
65,Richmond,808,2366,333,571,385,1,1290,120,157,73,0,350,1640,
66,Richmond,809,879,72,237,155,2,466,15,88,47,0,150,616,
67,Richmond,810,425,45,121,68,0,234,22,37,12,0,71,305,
