index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Chattooga,Coldwater,248,31,85,15,0,131,9,28,25,0,62,1,1,0,0,2,195,
1,Chattooga,Dirtseller,186,45,61,7,0,113,4,9,6,0,19,0,0,0,0,0,132,
2,Chattooga,Haywood,169,74,23,3,0,100,8,1,5,1,15,1,0,0,0,1,116,
3,Chattooga,Lyerly,934,215,267,53,2,537,34,42,32,0,108,13,8,0,0,21,666,
4,Chattooga,Trion,3496,581,1171,254,1,2007,71,163,134,0,368,13,16,9,0,38,2413,
5,Chattooga,Summerville,5155,548,1671,422,2,2643,149,412,283,1,845,15,24,10,0,49,3537,
6,Chattooga,Teloga,593,89,257,66,0,412,5,18,23,0,46,0,2,0,0,2,460,
7,Chattooga,Dirttown,897,259,265,74,0,598,28,41,45,0,114,1,4,3,0,8,720,
8,Chattooga,Seminole,138,33,43,18,0,94,2,5,3,0,10,2,0,0,0,2,106,
9,Chattooga,Subligna,489,174,124,49,1,348,8,11,18,0,37,0,0,0,0,0,385,
10,Chattooga,Alpine,872,264,217,70,0,551,30,46,33,0,109,1,1,1,0,3,663,
11,Chattooga,Cloudland,378,84,108,33,0,225,5,38,27,0,70,2,0,1,0,3,298,
12,Chattooga,Pennville,588,67,200,38,0,305,13,23,15,0,51,1,1,1,0,3,359,
