index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
22,Gwinnett,PINCKNEYVILLE D,2264,74,122,68,2,266,249,419,207,3,878,15,22,15,0,52,1196,
23,Gwinnett,SUGAR HILL A,4654,383,844,325,3,1555,232,610,441,1,1284,39,46,27,1,113,2952,
24,Gwinnett,SUGAR HILL B,5596,477,1128,398,11,2014,259,882,533,4,1678,53,83,66,0,202,3894,
25,Gwinnett,HOG MOUNTAIN A,5011,300,704,307,1,1312,295,1051,618,1,1965,43,53,24,0,120,3397,
26,Gwinnett,HOG MOUNTAIN B,4583,373,1026,421,3,1823,167,730,619,1,1517,23,55,29,0,107,3447,
27,Gwinnett,ROCKYCREEK A,5939,445,1444,401,0,2290,247,1091,610,3,1951,47,74,27,0,148,4389,
28,Gwinnett,CATES B,1587,132,322,178,1,633,74,214,175,1,464,23,27,8,0,58,1155,
29,Gwinnett,CATES C,2903,167,301,194,1,663,166,753,394,2,1315,19,21,18,0,58,2036,
30,Gwinnett,HOG MOUNTAIN D,3179,254,652,241,1,1148,136,463,380,1,980,34,49,21,0,104,2232,
31,Gwinnett,BERKSHIRE D,2945,139,484,300,1,924,100,577,484,3,1164,21,45,32,0,98,2186,
32,Gwinnett,BERKSHIRE E,1997,155,442,196,0,793,65,341,280,1,687,16,24,17,0,57,1537,
33,Gwinnett,BERKSHIRE F,2254,156,206,162,0,524,173,361,295,1,830,25,14,10,0,49,1403,
34,Gwinnett,CATES D,3755,224,616,325,0,1165,169,798,539,2,1508,22,34,36,0,92,2765,
35,Gwinnett,CATES E,2942,208,540,311,1,1060,125,575,456,1,1157,31,41,23,0,95,2312,
36,Gwinnett,PINCKNEYVILLE E,2184,103,96,61,2,262,222,463,261,6,952,18,30,17,1,66,1280,
37,Gwinnett,PINCKNEYVILLE F,2546,102,216,113,1,432,230,452,305,2,989,17,25,18,0,60,1481,
38,Gwinnett,DUNCANS D,7153,594,2052,714,3,3363,260,917,676,0,1853,45,89,37,0,171,5387,
39,Gwinnett,PINCKNEYVILLE H,4536,332,711,450,1,1494,204,838,744,1,1787,32,59,42,2,135,3416,
40,Gwinnett,BAYCREEK B,5969,252,637,267,3,1159,402,1684,776,7,2869,38,48,27,0,113,4141,
41,Gwinnett,LAWRENCEVILLE C,3037,280,594,278,0,1152,119,458,310,1,888,28,45,20,0,93,2133,
42,Gwinnett,MARTINS D,2402,81,118,93,2,294,257,435,280,2,974,19,20,12,0,51,1319,
43,Gwinnett,ROCKBRIDGE B,4177,118,318,160,0,596,289,1119,584,1,1993,32,39,21,0,92,2681,
44,Gwinnett,GARNERS B,3178,110,388,210,5,713,172,828,463,1,1464,19,24,17,0,60,2237,
45,Gwinnett,CATES F,1787,201,300,235,0,736,93,284,212,2,591,19,23,13,0,55,1382,
46,Gwinnett,CATES G,2875,201,660,375,0,1236,104,506,400,0,1010,17,33,17,0,67,2313,
47,Gwinnett,DULUTH B,3551,250,524,352,3,1129,173,502,519,1,1195,20,36,27,1,84,2408,
48,Gwinnett,GARNERS C,2030,123,275,140,0,538,116,431,247,1,795,16,34,17,1,68,1401,
49,Gwinnett,PINCKNEYVILLE I,2635,96,200,127,0,423,234,534,299,2,1069,21,23,9,0,53,1545,
50,Gwinnett,PINCKNEYVILLE J,2613,72,121,62,0,255,247,606,265,3,1121,18,19,10,0,47,1423,
51,Gwinnett,BERKSHIRE G,2419,158,486,238,0,882,95,520,291,0,906,23,39,15,0,77,1865,
52,Gwinnett,CATES H,3924,105,381,181,0,667,292,914,485,2,1693,23,39,16,0,78,2438,
53,Gwinnett,SUGAR HILL C,5085,573,1200,430,1,2204,194,741,491,0,1426,56,70,39,0,165,3795,
54,Gwinnett,SUGAR HILL D,4624,301,1130,314,5,1750,177,707,430,2,1316,29,83,31,1,144,3210,
55,Gwinnett,DULUTH C,2229,186,297,196,1,680,122,365,313,2,802,30,23,17,1,71,1553,
56,Gwinnett,DULUTH D,5077,218,635,288,5,1146,283,1013,635,10,1941,40,50,36,3,129,3216,
57,Gwinnett,PINCKNEYVILLE K,3754,124,207,112,3,446,360,794,438,8,1600,30,35,24,0,89,2135,
58,Gwinnett,PINCKNEYVILLE N,3819,115,183,67,1,366,429,925,474,5,1833,41,27,13,0,81,2280,
59,Gwinnett,LAWRENCEVILLE D,5012,143,249,183,3,578,415,1051,506,10,1982,31,40,36,1,108,2668,
60,Gwinnett,LAWRENCEVILLE E,2355,154,381,264,1,800,145,361,278,2,786,7,26,13,0,46,1632,
61,Gwinnett,PINCKNEYVILLE L,2330,292,433,457,1,1183,88,250,400,0,738,17,24,19,0,60,1981,
62,Gwinnett,PINCKNEYVILLE M,2673,334,638,412,0,1384,75,293,382,0,750,17,27,30,0,74,2208,
63,Gwinnett,GARNERS D,3490,87,265,177,0,529,226,898,593,0,1717,18,25,22,0,65,2311,
64,Gwinnett,BERKSHIRE H,1987,95,170,141,3,409,146,329,244,2,721,12,14,13,0,39,1169,
65,Gwinnett,PINCKNEYVILLE O,3359,96,223,108,1,428,277,771,334,5,1387,23,31,11,0,65,1880,
66,Gwinnett,PUCKETTS E,5660,269,1034,422,1,1726,226,1092,648,3,1969,33,60,21,0,114,3809,
67,Gwinnett,CATES I,3537,265,593,318,1,1177,163,780,523,1,1467,19,33,19,0,71,2715,
68,Gwinnett,CATES J,3478,216,434,279,2,931,171,781,515,1,1468,40,30,34,1,105,2504,
69,Gwinnett,GOODWINS B,3960,302,869,341,1,1513,179,594,491,0,1264,35,54,35,0,124,2901,
70,Gwinnett,LAWRENCEVILLE F,4061,161,336,151,1,649,276,1118,592,2,1988,32,28,20,0,80,2717,
71,Gwinnett,MARTINS E,6193,132,203,95,1,431,577,1376,672,6,2631,35,57,18,0,110,3172,
72,Gwinnett,PINCKNEYVILLE P,2185,168,252,244,0,664,171,377,345,2,895,19,18,14,0,51,1610,
73,Gwinnett,PINCKNEYVILLE Q,1915,73,59,36,0,168,266,420,214,2,902,16,13,5,1,35,1105,
74,Gwinnett,ROCKBRIDGE C,5125,124,330,186,2,642,275,1709,972,5,2961,20,35,17,0,72,3675,
75,Gwinnett,ROCKBRIDGE D,3642,67,365,194,0,626,194,1137,607,8,1946,9,25,19,0,53,2625,
76,Gwinnett,GOODWINS C,5804,292,596,332,0,1220,381,1177,870,1,2429,37,54,27,0,118,3767,
77,Gwinnett,BAYCREEK K,3824,159,664,345,0,1168,137,935,510,1,1583,21,35,26,0,82,2833,
78,Gwinnett,CATES K,2810,240,493,260,2,995,139,525,346,0,1010,29,40,15,1,85,2090,
79,Gwinnett,BAYCREEK C,6499,309,1023,348,2,1682,345,1708,867,0,2920,24,63,32,0,119,4721,
80,Gwinnett,CATES L,4185,216,580,319,0,1115,251,935,535,4,1725,22,42,33,0,97,2937,
81,Gwinnett,DULUTH E,4814,203,504,230,1,938,377,1118,716,7,2218,40,57,30,1,128,3284,
82,Gwinnett,GOODWINS D,4406,374,628,306,1,1309,301,692,546,2,1541,43,52,23,0,118,2968,
83,Gwinnett,LAWRENCEVILLE G,3046,105,281,135,0,521,230,737,401,2,1370,17,35,17,0,69,1960,
84,Gwinnett,LAWRENCEVILLE H,4296,274,745,355,4,1378,214,791,549,2,1556,35,68,32,0,135,3069,
85,Gwinnett,MARTINS F,2570,119,148,104,1,372,231,468,331,3,1033,17,18,7,1,43,1448,
86,Gwinnett,PINCKNEYVILLE S,3374,162,320,213,3,698,315,583,413,3,1314,29,30,34,1,94,2106,
87,Gwinnett,ROCKBRIDGE E,4638,139,327,140,1,607,366,1138,711,2,2217,30,31,34,1,96,2920,
88,Gwinnett,SUGAR HILL E,3589,316,741,314,3,1374,133,607,365,3,1108,33,65,23,1,122,2604,
89,Gwinnett,LAWRENCEVILLE I,3312,193,364,189,0,746,255,623,415,2,1295,28,39,22,0,89,2130,
90,Gwinnett,BAYCREEK D,4609,302,828,347,0,1477,179,1019,596,0,1794,35,47,21,0,103,3374,
91,Gwinnett,BERKSHIRE J,2731,158,570,294,0,1022,97,517,398,2,1014,20,45,18,1,84,2120,
92,Gwinnett,CATES M,3988,261,872,464,1,1598,149,761,549,2,1461,30,50,34,0,114,3173,
93,Gwinnett,CATES N,2567,224,549,350,0,1123,112,361,277,0,750,27,26,15,1,69,1942,
94,Gwinnett,DULUTH F,6161,182,381,244,3,810,447,1367,904,17,2735,27,44,28,1,100,3645,
95,Gwinnett,DULUTH G,3067,264,523,323,2,1112,150,465,416,1,1032,36,32,35,0,103,2247,
96,Gwinnett,GOODWINS E,5491,402,833,429,1,1665,298,986,711,1,1996,43,62,36,0,141,3802,
97,Gwinnett,GOODWINS F,3212,177,438,248,0,863,171,580,455,0,1206,29,38,21,0,88,2157,
98,Gwinnett,PINCKNEYVILLE T,3201,192,302,245,2,741,214,568,400,3,1185,27,39,31,0,97,2023,
99,Gwinnett,SUWANEE B,4656,245,1093,426,0,1764,111,920,558,0,1589,21,66,38,0,125,3478,
100,Gwinnett,PINCKNEYVILLE U,2090,182,201,133,0,516,211,400,285,5,901,27,11,9,0,47,1464,
101,Gwinnett,PUCKETTS B,3096,282,858,256,1,1397,99,473,270,0,842,23,32,12,0,67,2306,
102,Gwinnett,BERKSHIRE L,3265,151,246,156,0,553,324,668,416,1,1409,18,34,19,0,71,2033,
103,Gwinnett,ROCKBRIDGE F,5795,77,426,215,1,719,298,2100,838,5,3241,16,51,27,0,94,4054,
104,Gwinnett,SUGAR HILL F,4112,365,840,331,6,1542,188,578,443,1,1210,45,53,36,2,136,2888,
105,Gwinnett,SUWANEE C,5675,333,1049,502,6,1890,193,945,792,1,1931,30,60,46,0,136,3957,
106,Gwinnett,CATES O,1434,160,230,138,4,532,87,249,201,1,538,10,18,7,0,35,1105,
107,Gwinnett,BAYCREEK E,3265,180,433,181,1,795,208,720,412,3,1343,19,31,9,1,60,2198,
108,Gwinnett,BERKSHIRE M,1864,162,339,184,2,687,96,307,247,1,651,13,18,18,0,49,1387,
109,Gwinnett,MARTINS G,2425,117,182,99,1,399,242,492,276,0,1010,24,26,9,0,59,1468,
110,Gwinnett,DULUTH H,2813,158,443,292,4,897,138,443,479,1,1061,22,27,16,0,65,2023,
111,Gwinnett,BERKSHIRE N,3128,110,728,361,1,1200,81,596,471,0,1148,13,48,23,0,84,2432,
112,Gwinnett,PINCKNEYVILLE V,1706,99,189,101,0,389,110,323,195,2,630,11,18,7,0,36,1055,
113,Gwinnett,PINCKNEYVILLE W,4253,218,499,375,1,1093,253,742,537,4,1536,33,41,35,1,110,2739,
114,Gwinnett,MARTINS H,5037,220,486,336,5,1047,372,1019,666,9,2066,27,53,29,0,109,3222,
115,Gwinnett,MARTINS I,4078,148,322,219,3,692,340,794,501,3,1638,26,33,16,0,75,2405,
116,Gwinnett,MARTINS J,3923,141,218,108,4,471,434,901,496,5,1836,39,47,19,0,105,2412,
117,Gwinnett,GARNERS F,1796,113,330,149,1,593,94,336,248,1,679,9,20,12,1,42,1314,
118,Gwinnett,BERKSHIRE O,2589,173,503,300,0,976,114,403,337,2,856,22,43,18,1,84,1916,
119,Gwinnett,BERKSHIRE P,1476,96,139,74,1,310,119,235,182,1,537,8,13,3,0,24,871,
120,Gwinnett,PINCKNEYVILLE X,3412,211,563,376,6,1156,155,578,584,8,1325,42,35,39,3,119,2600,
121,Gwinnett,ROCKBRIDGE G,5799,129,380,194,3,706,370,1812,914,12,3108,26,51,25,0,102,3916,
122,Gwinnett,PINCKNEYVILLE Y,3272,94,160,83,0,337,339,628,330,1,1298,21,33,19,1,74,1709,
123,Gwinnett,GOODWINS G,2661,139,269,88,3,499,225,564,352,1,1142,29,15,13,0,57,1698,
124,Gwinnett,PINCKNEYVILLE Z,1898,291,367,299,0,957,76,193,313,0,582,22,12,21,0,55,1594,
125,Gwinnett,PINCKNEYVILLE A1,2694,306,563,461,0,1330,84,340,441,0,865,15,31,24,0,70,2265,
126,Gwinnett,LAWRENCEVILLE J,2249,136,204,91,0,431,174,537,292,3,1006,24,20,7,0,51,1488,
127,Gwinnett,GOODWINS H,2796,205,461,183,0,849,153,521,364,2,1040,27,38,16,0,81,1970,
128,Gwinnett,DUNCANS B,5387,541,1611,479,3,2634,194,735,465,3,1397,48,71,31,0,150,4181,
129,Gwinnett,SUWANEE D,4732,422,1284,511,1,2218,146,674,578,2,1400,30,57,44,0,131,3749,
130,Gwinnett,SUWANEE E,4256,345,1089,454,1,1889,110,715,515,1,1341,33,57,33,0,123,3353,
131,Gwinnett,LAWRENCEVILLE K,3282,265,562,287,0,1114,160,616,454,0,1230,15,42,23,0,80,2424,
132,Gwinnett,HARBINS B,4845,318,1218,306,1,1843,185,835,418,3,1441,33,78,22,0,133,3417,
133,Gwinnett,BAYCREEK F,4608,226,522,224,4,976,263,1315,638,7,2223,23,55,20,0,98,3297,
134,Gwinnett,PUCKETTS C,3367,253,861,230,0,1344,115,501,321,0,937,17,40,19,1,77,2358,
135,Gwinnett,HOG MOUNTAIN C,4292,337,880,323,0,1540,172,675,476,1,1324,32,58,28,1,119,2983,
136,Gwinnett,ROCKYCREEK B,5061,353,1188,378,1,1920,190,925,469,1,1585,48,72,22,1,143,3648,
137,Gwinnett,DULUTH I,5105,287,935,634,0,1856,180,701,854,1,1736,15,41,37,0,93,3685,
138,Gwinnett,MARTINS K,5352,188,380,241,1,810,456,1322,771,2,2551,36,44,28,1,109,3470,
139,Gwinnett,SUWANEE H,3785,310,1159,475,0,1944,101,512,411,1,1025,27,39,21,0,87,3056,
140,Gwinnett,SUGAR HILL G,2814,269,772,256,0,1297,64,367,346,1,778,30,40,21,0,91,2166,
141,Gwinnett,SUWANEE F,3966,293,781,328,2,1404,150,700,533,2,1385,27,36,23,0,86,2875,
142,Gwinnett,LAWRENCEVILLE L,4802,210,719,347,0,1276,258,1101,668,1,2028,25,49,24,1,99,3403,
143,Gwinnett,LAWRENCEVILLE M,7255,231,547,269,1,1048,491,1974,1011,5,3481,40,71,41,2,154,4683,
144,Gwinnett,BAYCREEK G,6241,262,766,293,0,1321,288,1902,872,1,3063,34,57,27,0,118,4502,
145,Gwinnett,BAYCREEK H,6811,345,1329,514,1,2189,300,1685,864,4,2853,47,69,52,0,168,5210,
146,Gwinnett,BAYCREEK I,5899,239,757,349,6,1351,299,1455,741,4,2499,37,66,27,0,130,3980,
147,Gwinnett,BERKSHIRE Q,1802,147,298,154,1,600,99,275,226,1,601,17,19,20,0,56,1257,
148,Gwinnett,GOODWINS I,2501,226,392,280,0,898,152,441,329,0,922,18,19,23,0,60,1880,
149,Gwinnett,DULUTH K,2786,69,160,84,1,314,213,539,298,1,1051,24,24,11,0,59,1424,
150,Gwinnett,HARBINS C,2850,370,594,186,2,1152,150,583,252,1,986,27,36,16,0,79,2217,
151,Gwinnett,ROCKYCREEK C,4806,318,1146,360,0,1824,225,925,517,4,1671,25,74,23,0,122,3617,
152,Gwinnett,LAWRENCEVILLE N,2573,159,272,146,0,577,190,439,268,5,902,29,37,19,2,87,1566,
153,Gwinnett,PUCKETTS D,3622,237,936,336,4,1513,128,558,369,0,1055,33,31,22,1,87,2655,
154,Gwinnett,SUWANEE G,3904,284,709,282,0,1275,201,793,519,1,1514,28,48,29,0,105,2894,
155,Gwinnett,BAYCREEK J,4567,198,508,225,0,931,292,1264,624,5,2185,17,32,30,0,79,3195,
