index,County,Precinct,Registered Voters,Ben Archer (Rep)_Election Day Votes,Ben Archer (Rep)_Advanced Voting Votes,Ben Archer (Rep)_Absentee by Mail Votes,Ben Archer (Rep)_Provisional Votes,Ben Archer (Rep)_Choice Total,"Jasper Watkins, III (Dem)_Election Day Votes","Jasper Watkins, III (Dem)_Advanced Voting Votes","Jasper Watkins, III (Dem)_Absentee by Mail Votes","Jasper Watkins, III (Dem)_Provisional Votes","Jasper Watkins, III (Dem)_Choice Total",Total,
0,Gwinnett,HARBINS A,7182,389,1569,535,0,2493,314,1517,833,1,2665,5158,
1,Gwinnett,ROCKBRIDGE A,3987,107,280,167,0,554,255,1268,637,0,2160,2714,
2,Gwinnett,DACULA,4777,246,936,261,0,1443,234,1080,590,0,1904,3347,
3,Gwinnett,BAYCREEK A,2720,238,543,314,0,1095,140,502,360,0,1002,2097,
4,Gwinnett,DUNCANS A,4729,355,1551,495,2,2403,120,713,453,0,1286,3689,
5,Gwinnett,CATES A,2387,177,475,307,0,959,106,343,290,0,739,1698,
6,Gwinnett,DUNCANS C,3040,330,1022,307,0,1659,83,414,269,0,766,2425,
7,Gwinnett,ROCKYCREEK A,5939,479,1481,422,0,2382,258,1118,622,2,2000,4382,
8,Gwinnett,CATES C,2903,171,306,202,1,680,182,764,408,1,1355,2035,
9,Gwinnett,CATES D,3755,179,482,221,0,882,125,618,424,0,1167,2049,
10,Gwinnett,DUNCANS D,7153,629,2094,747,1,3471,265,942,676,0,1883,5354,
11,Gwinnett,BAYCREEK B,5969,277,646,287,3,1213,419,1721,789,5,2934,4147,
12,Gwinnett,ROCKBRIDGE B,4177,142,330,170,0,642,296,1149,592,1,2038,2680,
13,Gwinnett,GARNERS B,3178,120,392,222,4,738,182,852,468,0,1502,2240,
14,Gwinnett,CATES F,1787,212,317,236,0,765,103,291,215,2,611,1376,
15,Gwinnett,CATES G,2875,201,697,395,0,1293,120,501,396,0,1017,2310,
16,Gwinnett,CATES H,3924,116,397,194,0,707,301,936,489,1,1727,2434,
17,Gwinnett,GARNERS D,3490,89,269,192,0,550,237,921,606,0,1764,2314,
18,Gwinnett,ROCKBRIDGE C,5125,129,327,194,0,650,291,1736,984,5,3016,3666,
19,Gwinnett,ROCKBRIDGE D,3642,76,375,192,1,644,196,1160,625,4,1985,2629,
20,Gwinnett,BAYCREEK K,3824,170,680,364,0,1214,145,951,515,1,1612,2826,
21,Gwinnett,BAYCREEK C,6499,333,1063,392,2,1790,350,1738,863,0,2951,4741,
22,Gwinnett,CATES L,4185,227,603,339,0,1169,257,953,547,3,1760,2929,
23,Gwinnett,ROCKBRIDGE E,4638,142,337,153,1,633,386,1165,731,2,2284,2917,
24,Gwinnett,BAYCREEK D,4609,316,856,368,0,1540,193,1031,597,0,1821,3361,
25,Gwinnett,CATES N,2567,241,569,360,1,1171,123,375,285,0,783,1954,
26,Gwinnett,ROCKBRIDGE F,5795,79,444,218,1,742,308,2143,850,4,3305,4047,
27,Gwinnett,BAYCREEK E,3265,195,442,184,1,822,217,744,417,3,1381,2203,
28,Gwinnett,ROCKBRIDGE G,5799,132,402,204,0,738,392,1846,933,11,3182,3920,
29,Gwinnett,DUNCANS B,5387,565,1643,492,1,2701,213,760,478,2,1453,4154,
30,Gwinnett,HARBINS B,4845,334,1286,334,0,1954,194,846,417,2,1459,3413,
31,Gwinnett,BAYCREEK F,4608,232,553,234,3,1022,280,1340,653,5,2278,3300,
32,Gwinnett,LAWRENCEVILLE L,4802,221,740,359,0,1320,276,1123,678,1,2078,3398,
33,Gwinnett,BAYCREEK G,6241,269,789,309,0,1367,312,1929,883,1,3125,4492,
34,Gwinnett,BAYCREEK H,6811,373,1366,554,1,2294,316,1714,877,1,2908,5202,
35,Gwinnett,BAYCREEK I,5899,265,818,378,1,1462,310,1473,744,0,2527,3989,
36,Gwinnett,HARBINS C,2850,393,615,192,2,1202,156,594,260,1,1011,2213,
37,Gwinnett,ROCKYCREEK C,4806,339,1206,370,0,1915,228,937,525,2,1692,3607,
38,Gwinnett,BAYCREEK J,4567,201,512,247,1,961,303,1289,638,3,2233,3194,
