index,County,Precinct,Registered Voters,Mary Kay Murphy (I) (Rep)_Election Day Votes,Mary Kay Murphy (I) (Rep)_Advanced Voting Votes,Mary Kay Murphy (I) (Rep)_Absentee by Mail Votes,Mary Kay Murphy (I) (Rep)_Provisional Votes,Mary Kay Murphy (I) (Rep)_Choice Total,Tanisha Banks (Dem)_Election Day Votes,Tanisha Banks (Dem)_Advanced Voting Votes,Tanisha Banks (Dem)_Absentee by Mail Votes,Tanisha Banks (Dem)_Provisional Votes,Tanisha Banks (Dem)_Choice Total,Total,
0,Gwinnett,SUWANEE A,1737,116,312,152,0,580,97,355,183,1,636,1216,
1,Gwinnett,GOODWINS A,3921,296,567,258,0,1121,252,776,512,0,1540,2661,
2,Gwinnett,DULUTH A,5042,235,890,490,2,1617,209,1021,879,0,2109,3726,
3,Gwinnett,PINCKNEYVILLE C,2082,261,293,296,1,851,111,326,327,4,768,1619,
4,Gwinnett,SUGAR HILL B,5596,487,1129,431,10,2057,276,886,530,3,1695,3752,
5,Gwinnett,PINCKNEYVILLE H,4536,333,755,507,0,1595,233,852,731,2,1818,3413,
6,Gwinnett,DULUTH B,3551,256,545,383,2,1186,191,515,516,1,1223,2409,
7,Gwinnett,SUGAR HILL C,5085,549,1172,451,1,2173,212,734,479,0,1425,3598,
8,Gwinnett,SUGAR HILL D,4624,127,456,111,1,695,59,216,140,0,415,1110,
9,Gwinnett,DULUTH C,2229,196,312,234,1,743,141,380,296,2,819,1562,
10,Gwinnett,DULUTH D,5077,231,661,339,4,1235,305,1033,623,8,1969,3204,
11,Gwinnett,PINCKNEYVILLE L,2330,311,487,548,0,1346,91,219,335,0,645,1991,
12,Gwinnett,PINCKNEYVILLE M,2673,349,684,506,0,1539,81,274,318,0,673,2212,
13,Gwinnett,PINCKNEYVILLE P,2185,173,272,277,0,722,183,377,324,1,885,1607,
14,Gwinnett,GOODWINS C,5804,307,617,370,0,1294,406,1222,862,0,2490,3784,
15,Gwinnett,DULUTH E,4814,222,534,275,0,1031,406,1147,707,4,2264,3295,
16,Gwinnett,DULUTH F,6161,59,177,149,0,385,161,585,435,8,1189,1574,
17,Gwinnett,DULUTH G,3067,293,553,369,0,1215,150,458,415,2,1025,2240,
18,Gwinnett,GOODWINS E,5491,424,876,463,1,1764,322,1009,714,1,2046,3810,
19,Gwinnett,PINCKNEYVILLE T,3201,208,335,283,1,827,219,570,393,1,1183,2010,
20,Gwinnett,SUWANEE C,5675,350,1083,583,2,2018,209,961,770,2,1942,3960,
21,Gwinnett,DULUTH H,2813,171,467,324,2,964,144,449,462,2,1057,2021,
22,Gwinnett,PINCKNEYVILLE W,4253,139,321,244,0,704,81,342,285,0,708,1412,
23,Gwinnett,PINCKNEYVILLE X,3412,226,595,423,6,1250,183,583,574,9,1349,2599,
24,Gwinnett,GOODWINS G,2661,144,274,99,0,517,249,576,355,0,1180,1697,
25,Gwinnett,PINCKNEYVILLE Z,1898,306,387,346,0,1039,86,185,286,0,557,1596,
26,Gwinnett,PINCKNEYVILLE A1,2694,323,596,527,0,1446,82,333,401,0,816,2262,
27,Gwinnett,GOODWINS H,2796,220,478,211,0,909,161,541,355,0,1057,1966,
28,Gwinnett,SUWANEE D,4732,455,1345,584,1,2385,141,673,535,0,1349,3734,
29,Gwinnett,SUWANEE E,4256,368,1159,533,2,2062,118,702,477,1,1298,3360,
30,Gwinnett,DULUTH I,5105,303,967,705,0,1975,177,715,821,1,1714,3689,
31,Gwinnett,SUWANEE H,3785,324,1233,539,0,2096,112,480,363,1,956,3052,
32,Gwinnett,SUGAR HILL G,2814,298,799,284,0,1381,70,380,343,1,794,2175,
33,Gwinnett,GOODWINS I,2501,235,402,309,0,946,161,453,324,0,938,1884,
34,Gwinnett,SUWANEE G,3904,302,762,299,0,1363,210,785,533,0,1528,2891,
