index,County,Precinct,Registered Voters,Steve Gooch (I) (Rep)_Election Day Votes,Steve Gooch (I) (Rep)_Advanced Voting Votes,Steve Gooch (I) (Rep)_Absentee by Mail Votes,Steve Gooch (I) (Rep)_Provisional Votes,Steve Gooch (I) (Rep)_Choice Total,June Krise (Dem)_Election Day Votes,June Krise (Dem)_Advanced Voting Votes,June Krise (Dem)_Absentee by Mail Votes,June Krise (Dem)_Provisional Votes,June Krise (Dem)_Choice Total,Total,
0,White,Blue Creek,2352,412,773,243,0,1428,31,151,160,0,342,1770,
1,White,Blue Ridge,929,172,263,121,1,557,16,34,33,0,83,640,
2,White,Helen,609,110,133,51,0,294,25,49,36,0,110,404,
3,White,Mossy Creek,3164,617,1052,311,0,1980,45,103,79,0,227,2207,
4,White,Mt Yonah,4468,541,1530,467,2,2540,60,274,193,0,527,3067,
5,White,Nacoochee,1552,207,468,203,1,879,56,135,145,0,336,1215,
6,White,Robertstown,407,103,100,39,0,242,17,33,19,0,69,311,
7,White,Shoal Creek,2538,451,774,227,0,1452,39,70,72,0,181,1633,
8,White,Tesnatee,1231,191,410,147,0,748,26,77,45,0,148,896,
9,White,Town Creek,1593,299,491,139,1,930,28,75,73,0,176,1106,
10,White,White Creek,1779,357,601,187,0,1145,25,47,43,0,115,1260,
