index,County,Precinct,Registered Voters,Patty Baker (I) (Rep)_Election Day Votes,Patty Baker (I) (Rep)_Advanced Voting Votes,Patty Baker (I) (Rep)_Absentee by Mail Votes,Patty Baker (I) (Rep)_Provisional Votes,Patty Baker (I) (Rep)_Choice Total,Total,
0,Cherokee,Air Acres,3050,502,920,465,2,1889,1889,
1,Cherokee,Arnold Mill,4884,863,1679,736,0,3278,3278,
2,Cherokee,Avery,3592,488,1523,574,0,2585,2585,
3,Cherokee,Ball Ground,4065,557,1823,393,1,2774,2774,
4,Cherokee,Bascomb,4115,659,1364,523,0,2546,2546,
5,Cherokee,Bells,5906,788,1599,761,1,3149,3149,
6,Cherokee,Booth,3899,466,1449,602,0,2517,2517,
7,Cherokee,Bradshaw,4491,541,1871,729,0,3141,3141,
8,Cherokee,Bridgemill,5113,692,2080,711,0,3483,3483,
9,Cherokee,Canton,8213,764,2555,1339,0,4658,4658,
10,Cherokee,Carmel,4581,666,1111,583,3,2363,2363,
11,Cherokee,Clayton,4906,792,1828,653,1,3274,3274,
12,Cherokee,Conns Creek,895,266,289,73,0,628,628,
13,Cherokee,Deer Run,3035,653,837,401,1,1892,1892,
14,Cherokee,Dixie,5733,710,1659,777,0,3146,3146,
15,Cherokee,Freehome,5790,762,2369,903,0,4034,4034,
16,Cherokee,Hickory Flat,7334,859,2976,1009,2,4846,4846,
17,Cherokee,Hightower,3483,511,1500,458,0,2469,2469,
18,Cherokee,Hillside,3155,415,1227,481,0,2123,2123,
19,Cherokee,Holly Springs,3262,516,1017,355,1,1889,1889,
20,Cherokee,Kellogg,5482,885,1524,641,2,3052,3052,
21,Cherokee,Liberty,8350,937,2903,1065,0,4905,4905,
22,Cherokee,Little River,7480,787,2293,1490,1,4571,4571,
23,Cherokee,Macedonia,4853,706,2061,709,0,3476,3476,
24,Cherokee,Mountain Road,3078,623,1025,423,1,2072,2072,
25,Cherokee,Neese,7642,902,2311,1151,1,4365,4365,
26,Cherokee,Oak Grove,3749,646,1031,496,0,2173,2173,
27,Cherokee,R M Moore,3468,694,1248,426,0,2368,2368,
28,Cherokee,R T Jones,2525,239,796,251,1,1287,1287,
29,Cherokee,Rosecreek,3748,572,1351,515,0,2438,2438,
30,Cherokee,Salacoa,727,274,131,69,0,474,474,
31,Cherokee,Sixes,3101,470,1122,498,0,2090,2090,
32,Cherokee,Sutallee,2540,733,811,286,1,1831,1831,
33,Cherokee,Teasley,7981,1247,2968,962,0,5177,5177,
34,Cherokee,Toonigh,6641,792,2513,885,0,4190,4190,
35,Cherokee,Union Hill,4207,859,1545,606,2,3012,3012,
36,Cherokee,Univeter,5434,630,2218,683,0,3531,3531,
37,Cherokee,Victoria,3132,614,1005,355,0,1974,1974,
38,Cherokee,Waleska,2875,600,828,474,0,1902,1902,
39,Cherokee,Wildcat,3215,567,1148,321,0,2036,2036,
40,Cherokee,Woodlands,3456,759,855,485,0,2099,2099,
41,Cherokee,Woodstock,7345,825,2223,947,2,3997,3997,
