index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Whitfield,1A,2533,248,447,208,3,906,76,146,91,0,313,1219,
1,Whitfield,2A,3090,339,763,290,2,1394,119,359,99,2,579,1973,
2,Whitfield,3A,2221,232,557,262,0,1051,85,234,71,0,390,1441,
3,Whitfield,4A,2586,294,712,256,1,1263,92,268,103,0,463,1726,
4,Whitfield,5A,2238,238,347,134,2,721,94,121,59,2,276,997,
5,Whitfield,6A,1690,206,257,86,2,551,78,73,42,0,193,744,
6,Whitfield,AN,2474,260,407,145,2,814,111,201,67,2,381,1195,
7,Whitfield,CA,1953,371,321,104,3,799,139,134,39,0,312,1111,
8,Whitfield,CO,1431,311,244,82,5,642,155,96,42,1,294,936,
9,Whitfield,DG,3295,483,700,293,3,1479,195,288,105,1,589,2068,
10,Whitfield,ES,1702,233,276,105,0,614,73,123,41,0,237,851,
11,Whitfield,FI,2146,300,418,122,2,842,163,174,53,0,390,1232,
12,Whitfield,GL,2510,355,489,183,2,1029,142,219,68,0,429,1458,
13,Whitfield,LT,1148,178,282,60,2,522,93,136,28,0,257,779,
14,Whitfield,MC,1659,335,347,103,0,785,136,151,32,1,320,1105,
15,Whitfield,NI,2456,427,458,147,1,1033,201,227,72,1,501,1534,
16,Whitfield,PG,4721,562,1123,388,5,2078,212,496,183,1,892,2970,
17,Whitfield,TH,3836,538,857,314,1,1710,206,382,109,0,697,2407,
18,Whitfield,TI,775,203,91,30,1,325,78,52,11,0,141,466,
19,Whitfield,TR,1335,241,292,95,0,628,100,152,53,0,305,933,
20,Whitfield,UT,1053,253,185,67,0,505,108,69,29,0,206,711,
21,Whitfield,VA,5250,752,1265,412,2,2431,290,551,150,0,991,3422,
22,Whitfield,WS,2647,379,675,211,3,1268,136,251,105,0,492,1760,
