index,County,Precinct,Registered Voters,Bobby E. Hall (I) (Rep)_Election Day Votes,Bobby E. Hall (I) (Rep)_Advanced Voting Votes,Bobby E. Hall (I) (Rep)_Absentee by Mail Votes,Bobby E. Hall (I) (Rep)_Provisional Votes,Bobby E. Hall (I) (Rep)_Choice Total,Total,
0,Gordon,Sugar Valley,1471,426,358,106,1,891,891,
1,Gordon,Plainville,2044,537,476,164,3,1180,1180,
2,Gordon,Sonoraville,5380,1167,1719,439,0,3325,3325,
3,Gordon,Pine Chapel,1071,315,261,63,0,639,639,
4,Gordon,Oostanaula,667,226,125,76,0,427,427,
5,Gordon,Oakman,1439,448,255,96,0,799,799,
6,Gordon,Gordon County,6423,881,2025,529,0,3435,3435,
7,Gordon,Lily Pond,1914,366,595,164,0,1125,1125,
8,Gordon,Fairmount,1991,691,354,170,2,1217,1217,
9,Gordon,Red Bud,2965,651,942,174,0,1767,1767,
10,Gordon,Resaca,1532,410,337,119,0,866,866,
