index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Gordon,Sugar Valley,1471,410,352,91,1,854,27,36,40,0,103,17,9,2,0,28,985,
1,Gordon,Plainville,2044,499,444,125,3,1071,57,54,58,0,169,20,11,7,0,38,1278,
2,Gordon,Sonoraville,5380,1088,1638,379,1,3106,114,200,142,0,456,40,39,22,0,101,3663,
3,Gordon,Pine Chapel,1071,314,251,54,0,619,16,25,32,0,73,8,7,3,0,18,710,
4,Gordon,Oostanaula,667,209,108,65,0,382,24,28,30,0,82,8,3,1,0,12,476,
5,Gordon,Oakman,1439,418,238,92,0,748,29,33,38,0,100,12,12,6,0,30,878,
6,Gordon,Gordon County,6423,785,1850,459,0,3094,155,336,206,0,697,30,47,19,2,98,3889,
7,Gordon,Calhoun City,9532,906,2527,642,1,4076,298,711,482,1,1492,68,111,43,0,222,5790,
8,Gordon,Lily Pond,1914,347,565,142,0,1054,30,63,80,0,173,17,15,8,0,40,1267,
9,Gordon,Fairmount,1991,645,343,160,2,1150,51,32,52,0,135,24,16,12,0,52,1337,
10,Gordon,Red Bud,2965,612,862,156,0,1630,76,132,97,1,306,20,26,6,0,52,1988,
11,Gordon,Resaca,1532,378,310,107,1,796,36,53,35,0,124,16,8,1,0,25,945,
