index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Gordon,Sugar Valley,1471,436,360,94,1,891,31,41,44,0,116,3,2,0,0,5,1012,
1,Gordon,Plainville,2044,528,456,131,3,1118,59,67,71,0,197,7,4,0,0,11,1326,
2,Gordon,Sonoraville,5380,1145,1711,388,2,3246,125,207,165,0,497,19,12,7,0,38,3781,
3,Gordon,Pine Chapel,1071,324,261,59,0,644,20,27,37,0,84,4,1,2,0,7,735,
4,Gordon,Oostanaula,667,218,117,68,0,403,29,30,34,0,93,3,0,0,0,3,499,
5,Gordon,Oakman,1439,444,255,91,0,790,31,39,46,0,116,2,0,2,0,4,910,
6,Gordon,Gordon County,6423,843,1910,471,3,3227,159,372,238,0,769,6,16,3,0,25,4021,
7,Gordon,Calhoun City,9532,947,2634,651,1,4233,333,814,554,1,1702,38,30,21,0,89,6024,
8,Gordon,Lily Pond,1914,358,590,149,0,1097,43,78,82,0,203,6,1,4,0,11,1311,
9,Gordon,Fairmount,1991,686,356,171,2,1215,57,36,55,0,148,7,5,5,0,17,1380,
10,Gordon,Red Bud,2965,658,891,153,1,1703,77,154,101,0,332,6,10,5,0,21,2056,
11,Gordon,Resaca,1532,399,325,112,2,838,39,51,37,0,127,6,5,2,0,13,978,
