index,County,Precinct,Registered Voters,Walter Rafolski (Rep)_Election Day Votes,Walter Rafolski (Rep)_Advanced Voting Votes,Walter Rafolski (Rep)_Absentee by Mail Votes,Walter Rafolski (Rep)_Provisional Votes,Walter Rafolski (Rep)_Choice Total,Taylor Ritz (Dem)_Election Day Votes,Taylor Ritz (Dem)_Advanced Voting Votes,Taylor Ritz (Dem)_Absentee by Mail Votes,Taylor Ritz (Dem)_Provisional Votes,Taylor Ritz (Dem)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,409,1499,381,1,2290,97,332,241,2,672,2962,
1,Glynn,Brookman,3460,399,1099,201,2,1701,76,339,218,2,635,2336,
2,Glynn,Satilla Marshes,2824,303,903,226,0,1432,86,292,197,0,575,2007,
3,Glynn,Blythe Island Baptist,2529,257,961,227,2,1447,51,163,90,0,304,1751,
4,Glynn,Christian Renewal,3699,280,1424,465,3,2172,51,435,305,1,792,2964,
5,Glynn,Hampton River,2823,214,1178,344,2,1738,29,265,262,0,556,2294,
6,Glynn,St William Catholic Church,4333,276,1785,440,2,2503,51,527,378,0,956,3459,
7,Glynn,First Baptist,4316,278,1641,469,0,2388,80,524,357,2,963,3351,
8,Glynn,Jekyll Island,774,199,77,66,2,344,73,62,126,0,261,605,
9,Glynn,Sterling Church of God,3925,371,1084,230,3,1688,123,431,248,1,803,2491,
10,Glynn,SE Baptist Bldg,2109,209,559,129,1,898,71,192,102,1,366,1264,
11,Glynn,Career Academy,2960,296,837,261,3,1397,82,282,186,0,550,1947,
12,Glynn,C B Greer School,3288,307,956,247,1,1511,81,343,269,1,694,2205,
13,Glynn,Ballard,3286,190,805,265,4,1264,125,345,196,1,667,1931,
14,Glynn,Northside Baptist,3313,184,431,172,0,787,184,582,377,1,1144,1931,
15,Glynn,The Chapel,2971,133,403,135,0,671,109,466,329,2,906,1577,
16,Glynn,College Place UMC,2367,97,341,122,0,560,131,390,288,1,810,1370,
17,Glynn,Howard Coffin Park,3320,149,343,134,0,626,177,568,381,2,1128,1754,
18,Glynn,Urbana-Perry Parks,3638,48,90,41,1,180,289,700,508,2,1499,1679,
19,Glynn,Selden Park,1439,50,119,28,1,198,72,191,162,1,426,624,
