index,County,Precinct,Registered Voters,Karen Ellison (Rep)_Election Day Votes,Karen Ellison (Rep)_Advanced Voting Votes,Karen Ellison (Rep)_Absentee by Mail Votes,Karen Ellison (Rep)_Provisional Votes,Karen Ellison (Rep)_Choice Total,Radeta Green Smith (I) (Dem)_Election Day Votes,Radeta Green Smith (I) (Dem)_Advanced Voting Votes,Radeta Green Smith (I) (Dem)_Absentee by Mail Votes,Radeta Green Smith (I) (Dem)_Provisional Votes,Radeta Green Smith (I) (Dem)_Choice Total,Total,
0,Burke,Alexander,389,76,50,14,0,140,34,29,67,0,130,270,
1,Burke,Four Points,2558,423,460,119,0,1002,148,252,167,0,567,1569,
2,Burke,Girard,733,91,67,32,0,190,111,72,92,0,275,465,
3,Burke,Gough,434,37,46,13,0,96,53,52,98,0,203,299,
4,Burke,Greenscut,1036,135,209,37,0,381,87,111,91,0,289,670,
5,Burke,Keysville,476,61,38,18,0,117,96,13,26,0,135,252,
6,Burke,Midville,492,88,20,11,0,119,88,25,64,0,177,296,
7,Burke,Munnerlyn,299,51,37,3,0,91,34,37,29,0,100,191,
8,Burke,Sardis,1049,189,102,51,0,342,145,97,60,0,302,644,
9,Burke,Scotts Crossroads,294,33,15,5,0,53,45,42,46,0,133,186,
10,Burke,Telfair,1121,138,159,45,0,342,82,133,125,0,340,682,
11,Burke,St Clair,442,64,75,21,0,160,43,44,60,0,147,307,
12,Burke,Vidette,313,61,21,12,0,94,51,19,42,0,112,206,
13,Burke,North Waynesboro,2949,68,285,55,0,408,284,536,511,0,1331,1739,
14,Burke,South Waynesboro,3290,168,714,126,0,1008,274,649,349,0,1272,2280,
15,Burke,Blakeney,681,30,101,9,0,140,76,108,70,0,254,394,
