index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Burke,Alexander,389,83,54,14,0,151,26,16,65,0,107,0,3,1,0,4,262,
1,Burke,Four Points,2558,430,472,135,0,1037,118,220,139,0,477,14,15,10,0,39,1553,
2,Burke,Girard,733,97,73,38,0,208,92,55,80,0,227,4,4,0,0,8,443,
3,Burke,Gough,434,37,60,17,0,114,47,38,96,0,181,3,0,0,0,3,298,
4,Burke,Greenscut,1036,140,214,38,0,392,78,88,87,0,253,5,10,2,0,17,662,
5,Burke,Keysville,476,60,39,11,0,110,92,9,32,0,133,4,1,1,0,6,249,
6,Burke,Midville,492,87,20,11,0,118,80,25,59,0,164,6,0,2,0,8,290,
7,Burke,Munnerlyn,299,55,45,3,0,103,25,26,27,0,78,0,3,0,0,3,184,
8,Burke,Sardis,1049,197,116,52,0,365,126,73,50,0,249,7,2,0,0,9,623,
9,Burke,Scotts Crossroads,294,37,19,4,0,60,34,36,43,0,113,1,1,0,0,2,175,
10,Burke,Telfair,1121,143,166,48,0,357,64,120,118,0,302,10,4,2,0,16,675,
11,Burke,St Clair,442,64,81,25,0,170,36,36,57,0,129,5,0,0,0,5,304,
12,Burke,Vidette,313,68,24,9,0,101,36,15,42,0,93,1,1,3,0,5,199,
13,Burke,North Waynesboro,2949,81,323,67,0,471,255,467,485,0,1207,10,14,4,0,28,1706,
14,Burke,South Waynesboro,3290,216,889,145,0,1250,209,419,307,0,935,10,26,13,0,49,2234,
15,Burke,Blakeney,681,33,115,11,0,159,67,87,68,0,222,4,1,0,0,5,386,
