index,County,Precinct,Registered Voters,Dane Kirby (I) (Rep)_Election Day Votes,Dane Kirby (I) (Rep)_Advanced Voting Votes,Dane Kirby (I) (Rep)_Absentee by Mail Votes,Dane Kirby (I) (Rep)_Provisional Votes,Dane Kirby (I) (Rep)_Choice Total,Total,
0,Fannin,Colwell,1105,285,323,154,0,762,762,
1,Fannin,Fairplay,1262,306,334,140,0,780,780,
2,Fannin,Flinthill,3202,655,835,385,1,1876,1876,
3,Fannin,Hemptown,1336,355,351,147,3,856,856,
4,Fannin,Hothouse,1290,266,389,169,7,831,831,
5,Fannin,Mineral Bluff,1817,332,598,255,0,1185,1185,
6,Fannin,Mobile,1160,303,300,146,0,749,749,
7,Fannin,Morganton,2067,467,602,268,2,1339,1339,
8,Fannin,Noontootla,839,189,245,164,0,598,598,
9,Fannin,Skeniah,331,116,64,51,3,234,234,
10,Fannin,Sugar Creek,2437,389,848,322,1,1560,1560,
11,Fannin,Toccoa,3553,493,1203,500,4,2200,2200,
