index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Mitchell,Baconton,1129,151,206,39,0,396,97,123,103,0,323,9,3,1,0,13,732,
1,Mitchell,Branchville,599,169,185,25,0,379,12,39,29,0,80,3,3,0,0,6,465,
2,Mitchell,Camilla North,1996,46,187,35,0,268,190,399,364,0,953,3,6,6,0,15,1236,
3,Mitchell,Camilla South,3475,119,868,218,0,1205,163,555,396,3,1117,6,22,9,0,37,2359,
4,Mitchell,Cotton,399,180,72,31,0,283,13,6,9,0,28,0,0,0,0,0,311,
5,Mitchell,Hopeful,350,97,91,23,2,213,12,12,13,0,37,0,1,1,0,2,252,
6,Mitchell,Hinsonton,134,78,16,3,0,97,2,5,6,0,13,0,0,0,0,0,110,
7,Mitchell,Lester,1357,269,321,91,0,681,36,52,82,1,171,6,4,2,0,12,864,
8,Mitchell,Pebble City,162,66,26,18,0,110,7,7,1,0,15,2,0,0,0,2,127,
9,Mitchell,Pelham,3489,224,671,184,0,1079,241,402,390,1,1034,12,11,6,0,29,2142,
10,Mitchell,Sale City,384,140,47,23,0,210,21,22,18,0,61,2,0,0,0,2,273,
