County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Fulton,09K1,1518.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,34.0,3.0,0.0,56.0,8.0,7.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,1.0,0.0,22.0,4.0,11.0,2.0,0.0,17.0,0.0,11.0,2.0,0.0,13.0,4.0,10.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,65.0,228.0,32.0,2.0,327.0,2.0,2.0,0.0,0.0,4.0,487.0
Fulton,09M,2578.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,8.0,10.0,75.0,27.0,0.0,112.0,2.0,5.0,2.0,0.0,9.0,1.0,3.0,3.0,0.0,7.0,0.0,5.0,1.0,0.0,6.0,4.0,10.0,2.0,0.0,16.0,16.0,116.0,33.0,0.0,165.0,7.0,38.0,10.0,0.0,55.0,0.0,2.0,0.0,0.0,2.0,3.0,29.0,10.0,0.0,42.0,11.0,68.0,9.0,0.0,88.0,26.0,138.0,29.0,0.0,193.0,2.0,31.0,4.0,0.0,37.0,4.0,13.0,3.0,0.0,20.0,1.0,3.0,1.0,0.0,5.0,0.0,4.0,6.0,0.0,10.0,0.0,7.0,0.0,0.0,7.0,41.0,810.0,254.0,0.0,1105.0,1.0,8.0,2.0,0.0,11.0,1900.0
Fulton,10A,3186.0,0.0,5.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,10.0,0.0,2.0,1.0,0.0,3.0,0.0,4.0,3.0,0.0,7.0,1.0,4.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,8.0,34.0,111.0,25.0,4.0,174.0,13.0,35.0,10.0,0.0,58.0,1.0,3.0,0.0,0.0,4.0,9.0,23.0,13.0,1.0,46.0,12.0,24.0,9.0,0.0,45.0,3.0,17.0,6.0,0.0,26.0,9.0,18.0,1.0,0.0,28.0,0.0,3.0,1.0,0.0,4.0,0.0,5.0,2.0,0.0,7.0,1.0,5.0,1.0,1.0,8.0,0.0,4.0,1.0,0.0,5.0,154.0,709.0,460.0,10.0,1333.0,6.0,12.0,3.0,0.0,21.0,1800.0
Fulton,10B,3965.0,1.0,2.0,6.0,0.0,9.0,0.0,3.0,2.0,0.0,5.0,2.0,8.0,6.0,0.0,16.0,0.0,4.0,2.0,0.0,6.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,34.0,107.0,48.0,2.0,191.0,20.0,62.0,14.0,0.0,96.0,0.0,9.0,0.0,0.0,9.0,9.0,60.0,11.0,0.0,80.0,8.0,38.0,6.0,0.0,52.0,6.0,15.0,7.0,1.0,29.0,7.0,20.0,2.0,0.0,29.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,0.0,5.0,3.0,1.0,9.0,1.0,1.0,0.0,0.0,2.0,147.0,1190.0,795.0,5.0,2137.0,1.0,6.0,1.0,1.0,9.0,2696.0
Fulton,10C,2598.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,5.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,3.0,0.0,7.0,0.0,3.0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,23.0,84.0,15.0,4.0,126.0,7.0,39.0,7.0,1.0,54.0,1.0,1.0,0.0,0.0,2.0,6.0,32.0,10.0,1.0,49.0,7.0,14.0,4.0,1.0,26.0,5.0,8.0,7.0,0.0,20.0,2.0,17.0,2.0,0.0,21.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,83.0,490.0,258.0,8.0,839.0,1.0,10.0,7.0,0.0,18.0,1196.0
Fulton,10D,4968.0,2.0,4.0,5.0,0.0,11.0,1.0,1.0,2.0,1.0,5.0,5.0,8.0,1.0,3.0,17.0,4.0,2.0,3.0,1.0,10.0,5.0,2.0,3.0,1.0,11.0,0.0,6.0,0.0,0.0,6.0,1.0,2.0,2.0,1.0,6.0,68.0,130.0,38.0,25.0,261.0,13.0,47.0,11.0,11.0,82.0,2.0,7.0,0.0,2.0,11.0,14.0,49.0,19.0,6.0,88.0,14.0,38.0,3.0,1.0,56.0,3.0,14.0,9.0,1.0,27.0,11.0,26.0,4.0,2.0,43.0,0.0,2.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,5.0,0.0,6.0,1.0,0.0,7.0,2.0,2.0,0.0,2.0,6.0,186.0,829.0,443.0,90.0,1548.0,3.0,14.0,5.0,6.0,28.0,2232.0
Fulton,10E,1084.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,18.0,33.0,14.0,1.0,66.0,6.0,20.0,4.0,0.0,30.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,2.0,0.0,11.0,1.0,2.0,5.0,0.0,8.0,1.0,6.0,2.0,0.0,9.0,1.0,4.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,58.0,227.0,154.0,2.0,441.0,2.0,1.0,1.0,0.0,4.0,600.0
Fulton,10F,1208.0,1.0,2.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,40.0,7.0,1.0,67.0,7.0,9.0,2.0,1.0,19.0,1.0,0.0,0.0,0.0,1.0,3.0,16.0,1.0,0.0,20.0,4.0,9.0,2.0,0.0,15.0,5.0,6.0,3.0,0.0,14.0,1.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,223.0,187.0,8.0,505.0,1.0,1.0,0.0,1.0,3.0,669.0
Fulton,10G,1332.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,5.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,3.0,0.0,56.0,8.0,19.0,6.0,0.0,33.0,0.0,2.0,2.0,0.0,4.0,1.0,13.0,2.0,1.0,17.0,5.0,12.0,2.0,0.0,19.0,8.0,7.0,0.0,0.0,15.0,1.0,7.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,63.0,414.0,218.0,2.0,697.0,1.0,3.0,0.0,0.0,4.0,882.0
Fulton,10H1,439.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,4.0,2.0,27.0,2.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,8.0,3.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,19.0,122.0,71.0,9.0,221.0,1.0,1.0,0.0,0.0,2.0,281.0
Fulton,10H2,2623.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,5.0,0.0,7.0,3.0,3.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,22.0,60.0,30.0,4.0,116.0,13.0,23.0,6.0,1.0,43.0,1.0,3.0,0.0,0.0,4.0,12.0,17.0,9.0,0.0,38.0,2.0,16.0,2.0,0.0,20.0,2.0,9.0,6.0,0.0,17.0,5.0,11.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,4.0,116.0,414.0,279.0,8.0,817.0,3.0,5.0,4.0,0.0,12.0,1127.0
Fulton,10I,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,4.0,0.0,14.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,136.0,80.0,0.0,223.0,0.0,0.0,1.0,0.0,1.0,270.0
Fulton,10J,1238.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,13.0,20.0,5.0,2.0,40.0,9.0,16.0,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,5.0,0.0,20.0,5.0,5.0,1.0,1.0,12.0,5.0,4.0,2.0,0.0,11.0,4.0,3.0,1.0,2.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,100.0,141.0,111.0,6.0,358.0,2.0,0.0,0.0,0.0,2.0,504.0
Fulton,10K,1614.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,3.0,6.0,3.0,0.0,12.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,47.0,12.0,1.0,69.0,7.0,19.0,3.0,0.0,29.0,0.0,1.0,0.0,0.0,1.0,10.0,15.0,6.0,0.0,31.0,1.0,15.0,4.0,0.0,20.0,3.0,21.0,5.0,0.0,29.0,3.0,12.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,71.0,441.0,267.0,4.0,783.0,2.0,3.0,2.0,0.0,7.0,1017.0
Fulton,10M,2880.0,1.0,2.0,2.0,0.0,5.0,0.0,3.0,2.0,0.0,5.0,5.0,7.0,6.0,0.0,18.0,0.0,4.0,4.0,1.0,9.0,1.0,1.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,4.0,28.0,64.0,21.0,5.0,118.0,13.0,25.0,12.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,5.0,0.0,45.0,14.0,25.0,6.0,0.0,45.0,8.0,21.0,10.0,0.0,39.0,9.0,18.0,2.0,0.0,29.0,1.0,3.0,5.0,0.0,9.0,3.0,3.0,0.0,0.0,6.0,1.0,5.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,163.0,663.0,364.0,6.0,1196.0,1.0,12.0,2.0,0.0,15.0,1610.0
Fulton,10P,1607.0,3.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,8.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,16.0,45.0,20.0,1.0,82.0,8.0,7.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,8.0,2.0,33.0,6.0,7.0,0.0,0.0,13.0,3.0,2.0,2.0,0.0,7.0,5.0,10.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,96.0,247.0,198.0,1.0,542.0,0.0,4.0,5.0,0.0,9.0,752.0
Fulton,10R,928.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,14.0,23.0,9.0,4.0,50.0,7.0,11.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,1.0,16.0,4.0,6.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,10.0,0.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,64.0,142.0,64.0,7.0,277.0,1.0,0.0,0.0,0.0,1.0,407.0
Fulton,11B,4395.0,3.0,2.0,5.0,0.0,10.0,0.0,3.0,1.0,0.0,4.0,1.0,7.0,8.0,2.0,18.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,6.0,4.0,4.0,3.0,0.0,11.0,49.0,140.0,51.0,2.0,242.0,22.0,51.0,18.0,4.0,95.0,0.0,2.0,0.0,0.0,2.0,15.0,65.0,17.0,0.0,97.0,9.0,36.0,8.0,4.0,57.0,2.0,15.0,5.0,0.0,22.0,9.0,27.0,6.0,2.0,44.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,8.0,1.0,6.0,1.0,0.0,8.0,0.0,5.0,0.0,0.0,5.0,227.0,1003.0,729.0,23.0,1982.0,5.0,11.0,2.0,0.0,18.0,2638.0
Fulton,11B1,894.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,1.0,0.0,42.0,3.0,8.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,9.0,3.0,5.0,0.0,0.0,8.0,4.0,3.0,1.0,0.0,8.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,43.0,236.0,26.0,5.0,310.0,2.0,4.0,0.0,0.0,6.0,416.0
Fulton,11C,3149.0,3.0,1.0,4.0,0.0,8.0,0.0,2.0,0.0,0.0,2.0,1.0,9.0,4.0,0.0,14.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,32.0,135.0,29.0,6.0,202.0,6.0,43.0,13.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,6.0,4.0,54.0,5.0,25.0,4.0,0.0,34.0,4.0,11.0,3.0,0.0,18.0,3.0,18.0,0.0,2.0,23.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,7.0,2.0,8.0,3.0,0.0,13.0,0.0,2.0,0.0,0.0,2.0,93.0,1068.0,521.0,0.0,1682.0,3.0,9.0,1.0,0.0,13.0,2150.0
Fulton,11E1,1340.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,3.0,8.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,19.0,37.0,19.0,3.0,78.0,7.0,16.0,7.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,3.0,0.0,29.0,3.0,10.0,0.0,0.0,13.0,2.0,4.0,0.0,0.0,6.0,1.0,6.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,67.0,305.0,135.0,13.0,520.0,2.0,2.0,1.0,0.0,5.0,728.0
Fulton,11E2,1003.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,12.0,36.0,10.0,2.0,60.0,3.0,20.0,5.0,0.0,28.0,0.0,1.0,0.0,0.0,1.0,2.0,12.0,2.0,2.0,18.0,4.0,6.0,0.0,0.0,10.0,4.0,5.0,0.0,0.0,9.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,47.0,256.0,142.0,0.0,445.0,2.0,6.0,1.0,0.0,9.0,605.0
Fulton,11E3,3605.0,1.0,1.0,3.0,0.0,5.0,0.0,3.0,1.0,0.0,4.0,6.0,11.0,0.0,1.0,18.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,5.0,51.0,177.0,29.0,0.0,257.0,24.0,75.0,17.0,3.0,119.0,0.0,2.0,1.0,0.0,3.0,18.0,70.0,14.0,5.0,107.0,5.0,42.0,7.0,0.0,54.0,6.0,14.0,5.0,0.0,25.0,7.0,28.0,3.0,0.0,38.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,1.0,0.0,10.0,2.0,14.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,152.0,941.0,272.0,5.0,1370.0,5.0,9.0,3.0,2.0,19.0,2060.0
Fulton,11G,2556.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0,2.0,0.0,3.0,1.0,6.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,12.0,56.0,29.0,4.0,101.0,6.0,22.0,11.0,4.0,43.0,2.0,1.0,0.0,0.0,3.0,7.0,17.0,8.0,1.0,33.0,5.0,12.0,3.0,2.0,22.0,4.0,12.0,3.0,3.0,22.0,2.0,12.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,4.0,2.0,0.0,6.0,2.0,1.0,2.0,0.0,5.0,75.0,362.0,265.0,15.0,717.0,2.0,4.0,1.0,0.0,7.0,1006.0
Fulton,11H,753.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,13.0,11.0,2.0,30.0,2.0,2.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,4.0,10.0,3.0,0.0,17.0,1.0,8.0,0.0,0.0,9.0,3.0,2.0,1.0,0.0,6.0,3.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,35.0,151.0,115.0,4.0,305.0,1.0,1.0,0.0,0.0,2.0,399.0
Fulton,11J,2092.0,1.0,2.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,5.0,3.0,0.0,10.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,25.0,63.0,18.0,9.0,115.0,10.0,13.0,8.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,5.0,2.0,42.0,4.0,15.0,5.0,1.0,25.0,5.0,7.0,1.0,0.0,13.0,1.0,7.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,4.0,125.0,384.0,289.0,7.0,805.0,0.0,5.0,1.0,1.0,7.0,1089.0
Fulton,11K,2045.0,2.0,3.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,4.0,0.0,3.0,1.0,3.0,7.0,1.0,3.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0,4.0,0.0,3.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,20.0,44.0,20.0,1.0,85.0,6.0,19.0,6.0,1.0,32.0,0.0,0.0,2.0,0.0,2.0,6.0,20.0,5.0,2.0,33.0,6.0,22.0,6.0,0.0,34.0,5.0,10.0,3.0,0.0,18.0,3.0,15.0,4.0,0.0,22.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,6.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,99.0,488.0,339.0,6.0,932.0,0.0,4.0,2.0,0.0,6.0,1210.0
