index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Gilmer,Ellijay South,3172,345,1041,296,2,1684,53,177,210,0,440,13,31,13,0,57,2181,
1,Gilmer,Cartecay,1598,389,445,169,2,1005,17,54,79,0,150,12,11,3,0,26,1181,
2,Gilmer,Tails Creek,1782,411,443,128,0,982,47,57,42,0,146,24,9,5,0,38,1166,
3,Gilmer,Town Creek,1234,284,312,84,0,680,27,26,49,0,102,12,7,6,0,25,807,
4,Gilmer,Leaches,2939,496,867,282,2,1647,45,158,154,0,357,23,29,9,0,61,2065,
5,Gilmer,Cherry Log,926,227,205,92,0,524,41,61,61,0,163,11,1,2,0,14,701,
6,Gilmer,Boardtown,1391,272,467,167,3,909,29,62,101,0,192,13,8,1,1,23,1124,
7,Gilmer,Mountaintown,1139,255,326,110,1,692,19,55,38,0,112,9,17,8,0,34,838,
8,Gilmer,East Ellijay,1655,217,586,189,0,992,31,91,60,0,182,5,9,5,0,19,1193,
9,Gilmer,Ellijay North,1810,262,535,173,1,971,18,98,63,0,179,11,21,6,0,38,1188,
10,Gilmer,Yukon,1288,325,330,109,0,764,26,42,50,0,118,10,7,5,0,22,904,
11,Gilmer,Big Creek,1479,347,373,141,0,861,26,53,101,0,180,13,15,10,0,38,1079,
12,Gilmer,Ellijay Northeast,1851,226,649,182,0,1057,13,114,118,0,245,10,13,8,0,31,1333,
