index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Camden,Tarboro,979,176,171,81,0,428,77,84,33,0,194,622,
1,Camden,Waverly,1530,223,345,204,0,772,92,202,86,0,380,1152,
2,Camden,Woodbine,1973,222,461,183,0,866,105,209,75,1,390,1256,
3,Camden,Browntown,698,96,151,58,0,305,28,70,29,0,127,432,
4,Camden,Harrietts Bluff,1834,289,467,158,1,915,109,219,62,0,390,1305,
5,Camden,West Kingsland,2782,263,763,191,0,1217,99,337,84,0,520,1737,
6,Camden,North Kingsland,2599,213,648,207,0,1068,90,224,90,0,404,1472,
7,Camden,Kingsland,2274,191,540,160,0,891,56,198,57,0,311,1202,
8,Camden,East Kingsland,6866,501,2046,642,0,3189,167,676,214,0,1057,4246,
9,Camden,North St Marys,2095,178,367,130,1,676,63,129,43,0,235,911,
10,Camden,St Marys,3218,343,800,296,0,1439,125,299,108,0,532,1971,
11,Camden,South St Marys,2139,177,611,283,2,1073,68,239,97,0,404,1477,
12,Camden,Mush Bluff,2816,271,785,270,0,1326,117,338,114,1,570,1896,
13,Camden,West St Marys,3147,209,1040,454,0,1703,43,428,189,0,660,2363,
