index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Coweta,Senoia,5838,805,1559,783,1,3148,323,603,321,0,1247,4395,
1,Coweta,Moreland,2758,707,458,329,1,1495,279,197,126,0,602,2097,
2,Coweta,Pine Road,2095,421,409,214,0,1044,151,171,110,0,432,1476,
3,Coweta,Dresden,839,259,84,73,0,416,122,41,35,0,198,614,
4,Coweta,Newnan,3478,457,571,468,0,1496,166,188,179,0,533,2029,
5,Coweta,Sharpsburg,4526,702,1270,462,0,2434,260,465,182,1,908,3342,
6,Coweta,Fischer Road,4328,607,1208,648,1,2464,199,442,159,1,801,3265,
7,Coweta,Cedar Creek,5330,786,1384,823,0,2993,300,546,248,0,1094,4087,
8,Coweta,Grantville,2572,614,354,251,0,1219,246,132,79,1,458,1677,
9,Coweta,Haralson,2339,600,389,212,0,1201,243,167,103,0,513,1714,
10,Coweta,Welcome,3212,850,401,359,0,1610,327,184,139,0,650,2260,
11,Coweta,Panther Creek,3028,735,424,343,0,1502,250,191,101,0,542,2044,
12,Coweta,Raymond,2492,537,555,287,0,1379,156,201,104,0,461,1840,
13,Coweta,Turin,4477,824,1099,506,0,2429,318,496,184,0,998,3427,
14,Coweta,Smokey Road,2559,457,427,308,1,1193,170,154,119,0,443,1636,
15,Coweta,Central,4395,520,742,436,4,1702,175,204,186,1,566,2268,
16,Coweta,Newnan Centre,20465,2336,5381,2970,1,10688,783,1833,914,1,3531,14219,
17,Coweta,Greentop,2846,479,497,428,0,1404,163,180,158,1,502,1906,
18,Coweta,Expo Center,1974,428,329,269,0,1026,160,136,119,0,415,1441,
19,Coweta,White Oak,4636,662,1264,564,0,2490,231,425,196,1,853,3343,
20,Coweta,Madras,4462,655,1166,670,4,2495,230,427,220,0,877,3372,
21,Coweta,Cannongate,3653,687,946,481,0,2114,209,326,146,0,681,2795,
22,Coweta,Westside,838,170,87,88,0,345,68,31,43,0,142,487,
23,Coweta,Northside,2285,489,353,334,1,1177,216,138,116,0,470,1647,
24,Coweta,Thomas Crossroads,4962,713,1419,579,0,2711,255,543,172,0,970,3681,
25,Coweta,Coweta Central Library,1723,241,521,192,0,954,85,201,59,0,345,1299,
