index,County,Precinct,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total,
0,Houston,ANNX,4512,477,1205,583,5,2270,166,464,499,2,1131,3401,
1,Houston,BMS,9536,1355,2554,1093,1,5003,372,1121,994,2,2489,7492,
2,Houston,CENT,7795,937,1541,721,1,3200,426,967,846,3,2242,5442,
3,Houston,CGTC,4860,541,1334,434,4,2313,171,634,490,0,1295,3608,
4,Houston,FMMS,8767,1077,1873,626,1,3577,506,1361,970,2,2839,6416,
5,Houston,HAFS,1805,622,349,116,0,1087,93,76,91,1,261,1348,
6,Houston,HCTC,6361,530,941,488,2,1961,442,833,684,4,1963,3924,
7,Houston,HEFS,1372,339,261,92,4,696,155,74,106,5,340,1036,
8,Houston,HHPC,9610,695,1462,750,4,2911,661,1210,1129,3,3003,5914,
9,Houston,MCMS,9181,1104,2463,803,7,4377,365,1267,879,2,2513,6890,
10,Houston,NSES,2441,393,492,258,1,1144,133,253,267,0,653,1797,
11,Houston,RECR,9277,316,525,304,5,1150,984,1387,1348,10,3729,4879,
12,Houston,ROZR,13802,1510,3725,1243,4,6482,647,1450,1178,6,3281,9763,
13,Houston,TMS,5286,437,706,369,5,1517,460,902,691,2,2055,3572,
14,Houston,TWPK,4415,637,883,414,1,1935,255,588,442,3,1288,3223,
15,Houston,VHS,6295,983,1772,498,4,3257,259,734,477,0,1470,4727,
