County,Precinct,Registered Voters,Jack Browning (I) (Rep)_Election Day Votes,Jack Browning (I) (Rep)_Advanced Voting Votes,Jack Browning (I) (Rep)_Absentee by Mail Votes,Jack Browning (I) (Rep)_Provisional Votes,Jack Browning (I) (Rep)_Choice Total,Total Votes
Polk,Aragon,3224.0,524.0,1290.0,246.0,3.0,2063.0,2063.0
Polk,Blooming Grove,1659.0,305.0,607.0,122.0,3.0,1037.0,1037.0
Polk,Cedartown,6205.0,602.0,2095.0,691.0,6.0,3394.0,3394.0
Polk,Fish Creek,2566.0,401.0,1069.0,210.0,2.0,1682.0,1682.0
Polk,Lake Creek,2828.0,419.0,1357.0,207.0,0.0,1983.0,1983.0
Polk,Rockmart,5746.0,575.0,2552.0,460.0,2.0,3589.0,3589.0
Polk,Youngs Grove,1961.0,333.0,794.0,170.0,1.0,1298.0,1298.0
Haralson,Bremen,6622.0,1074.0,2427.0,725.0,0.0,4226.0,4226.0
Haralson,Buchanan,2365.0,404.0,846.0,246.0,1.0,1497.0,1497.0
Haralson,Buncombe,1075.0,299.0,263.0,99.0,0.0,661.0,661.0
Haralson,Corinth,1682.0,397.0,533.0,148.0,0.0,1078.0,1078.0
Haralson,Twentieth,738.0,223.0,193.0,82.0,0.0,498.0,498.0
Haralson,Felton,304.0,102.0,75.0,23.0,0.0,200.0,200.0
Haralson,Little Creek,699.0,265.0,166.0,70.0,0.0,501.0,501.0
Haralson,Mt View,330.0,138.0,69.0,26.0,0.0,233.0,233.0
Haralson,Seventh,1932.0,396.0,597.0,176.0,2.0,1171.0,1171.0
Haralson,Berea-Steadman,665.0,219.0,167.0,55.0,0.0,441.0,441.0
Haralson,Tallapoosa,3072.0,606.0,883.0,337.0,1.0,1827.0,1827.0
Haralson,Waco,1183.0,330.0,309.0,97.0,0.0,736.0,736.0
