County,Precinct,Registered Voters,Craig Fraser (I) (Rep)_Election Day Votes,Craig Fraser (I) (Rep)_Advanced Voting Votes,Craig Fraser (I) (Rep)_Absentee by Mail Votes,Craig Fraser (I) (Rep)_Provisional Votes,Craig Fraser (I) (Rep)_Choice Total,Adriane Latrell Love (Dem)_Election Day Votes,Adriane Latrell Love (Dem)_Advanced Voting Votes,Adriane Latrell Love (Dem)_Absentee by Mail Votes,Adriane Latrell Love (Dem)_Provisional Votes,Adriane Latrell Love (Dem)_Choice Total,Total Votes
Laurens,FBC-FLC,4180.0,316.0,1034.0,458.0,0.0,1808.0,205.0,654.0,377.0,1.0,1237.0,3045.0
Laurens,Calhoun Park,6053.0,187.0,430.0,236.0,0.0,853.0,538.0,1026.0,847.0,0.0,2411.0,3264.0
Laurens,Fire Dept Sta 5,3672.0,481.0,1109.0,345.0,0.0,1935.0,173.0,480.0,229.0,0.0,882.0,2817.0
Laurens,Buckeye,1047.0,194.0,117.0,61.0,0.0,372.0,100.0,115.0,132.0,1.0,348.0,720.0
Laurens,Burch,422.0,152.0,41.0,41.0,0.0,234.0,31.0,17.0,30.0,0.0,78.0,312.0
Laurens,Cadwell,749.0,261.0,114.0,48.0,0.0,423.0,72.0,32.0,22.0,1.0,127.0,550.0
Laurens,Brewton,1739.0,412.0,304.0,109.0,1.0,826.0,123.0,135.0,78.0,0.0,336.0,1162.0
Laurens,Dudley,1121.0,306.0,282.0,90.0,0.0,678.0,85.0,90.0,68.0,0.0,243.0,921.0
Laurens,Hampton Mill,1772.0,589.0,348.0,142.0,0.0,1079.0,144.0,67.0,53.0,0.0,264.0,1343.0
Laurens,Harvard,406.0,89.0,36.0,26.0,0.0,151.0,59.0,39.0,29.0,0.0,127.0,278.0
Laurens,Minter,937.0,317.0,152.0,88.0,1.0,558.0,50.0,43.0,19.0,0.0,112.0,670.0
Laurens,Rural Fire Sta 17,2344.0,431.0,478.0,171.0,0.0,1080.0,165.0,201.0,136.0,0.0,502.0,1582.0
Laurens,W T Adams Fire Sta 18,2090.0,329.0,578.0,175.0,0.0,1082.0,156.0,248.0,173.0,1.0,578.0,1660.0
Laurens,Reedy Springs,894.0,354.0,118.0,43.0,0.0,515.0,83.0,50.0,33.0,0.0,166.0,681.0
Laurens,Smith,3374.0,349.0,418.0,165.0,0.0,932.0,305.0,418.0,275.0,0.0,998.0,1930.0
Laurens,LCFS 10 Valambrosia,2080.0,275.0,378.0,157.0,0.0,810.0,148.0,284.0,173.0,0.0,605.0,1415.0
Twiggs,Dry Branch,1550.0,293.0,339.0,120.0,0.0,752.0,55.0,83.0,61.0,0.0,199.0,951.0
Twiggs,Golden Isles,1692.0,179.0,229.0,56.0,0.0,464.0,164.0,264.0,243.0,1.0,672.0,1136.0
Twiggs,Higgsville,758.0,150.0,173.0,60.0,0.0,383.0,39.0,84.0,41.0,0.0,164.0,547.0
Twiggs,Jeffersonville/Ware,1464.0,87.0,251.0,43.0,1.0,382.0,110.0,338.0,243.0,2.0,693.0,1075.0
Twiggs,Shady Grove/Tarvers,840.0,78.0,165.0,40.0,0.0,283.0,73.0,116.0,107.0,0.0,296.0,579.0
Johnson,Wrightsville,3113.0,120.0,900.0,171.0,0.0,1191.0,131.0,528.0,310.0,0.0,969.0,2160.0
Johnson,Smith,796.0,202.0,216.0,55.0,0.0,473.0,52.0,36.0,14.0,0.0,102.0,575.0
Johnson,Bray,790.0,126.0,252.0,47.0,0.0,425.0,51.0,65.0,63.0,0.0,179.0,604.0
Johnson,Kite,912.0,238.0,274.0,56.0,0.0,568.0,43.0,29.0,19.0,0.0,91.0,659.0
Treutlen,Annex,0.0,208.0,741.0,141.0,0.0,1090.0,48.0,197.0,63.0,0.0,308.0,1398.0
Treutlen,Soperton,0.0,122.0,408.0,108.0,0.0,638.0,157.0,546.0,264.0,0.0,967.0,1605.0
