County,Precinct,Registered Voters,Chris A. Arnt (Rep)_Election Day Votes,Chris A. Arnt (Rep)_Advanced Voting Votes,Chris A. Arnt (Rep)_Absentee by Mail Votes,Chris A. Arnt (Rep)_Provisional Votes,Chris A. Arnt (Rep)_Choice Total,Total Votes
Catoosa,Blackstock,1952.0,395.0,623.0,126.0,1.0,1145.0,1145.0
Catoosa,Boynton,6027.0,759.0,2675.0,490.0,3.0,3927.0,3927.0
Catoosa,Catoosa Keith,2611.0,517.0,922.0,199.0,0.0,1638.0,1638.0
Catoosa,Chambers,2552.0,355.0,1154.0,224.0,2.0,1735.0,1735.0
Catoosa,Ft Oglethorpe,4054.0,422.0,1463.0,382.0,1.0,2268.0,2268.0
Catoosa,Graysville,4501.0,614.0,1749.0,325.0,3.0,2691.0,2691.0
Catoosa,Lakeview,3572.0,393.0,1210.0,257.0,3.0,1863.0,1863.0
Catoosa,Poplar Springs,4191.0,510.0,1805.0,326.0,0.0,2641.0,2641.0
Catoosa,Ringgold,7414.0,653.0,3300.0,680.0,3.0,4636.0,4636.0
Catoosa,Westside,5895.0,464.0,2356.0,506.0,2.0,3328.0,3328.0
Catoosa,Woodstation,2946.0,562.0,1220.0,208.0,3.0,1993.0,1993.0
Chattooga,Coldwater,248.0,30.0,85.0,26.0,0.0,141.0,141.0
Chattooga,Dirtseller,186.0,47.0,59.0,9.0,0.0,115.0,115.0
Chattooga,Haywood,169.0,78.0,23.0,6.0,1.0,108.0,108.0
Chattooga,Lyerly,934.0,232.0,286.0,70.0,2.0,590.0,590.0
Chattooga,Trion,3496.0,611.0,1221.0,325.0,1.0,2158.0,2158.0
Chattooga,Summerville,5155.0,626.0,1827.0,515.0,1.0,2969.0,2969.0
Chattooga,Teloga,593.0,88.0,246.0,77.0,0.0,411.0,411.0
Chattooga,Dirttown,897.0,254.0,269.0,77.0,0.0,600.0,600.0
Chattooga,Seminole,138.0,37.0,45.0,17.0,0.0,99.0,99.0
Chattooga,Subligna,489.0,171.0,127.0,56.0,1.0,355.0,355.0
Chattooga,Alpine,872.0,268.0,237.0,81.0,0.0,586.0,586.0
Chattooga,Cloudland,378.0,89.0,121.0,39.0,0.0,249.0,249.0
Chattooga,Pennville,588.0,76.0,208.0,41.0,0.0,325.0,325.0
Dade,South Dade,969.0,190.0,309.0,64.0,0.0,563.0,563.0
Dade,New Salem,1255.0,296.0,373.0,122.0,0.0,791.0,791.0
Dade,Davis,2012.0,417.0,671.0,95.0,1.0,1184.0,1184.0
Dade,New Home,711.0,211.0,148.0,53.0,0.0,412.0,412.0
Dade,West Brow,1237.0,313.0,316.0,104.0,0.0,733.0,733.0
Dade,Trenton,3573.0,337.0,1102.0,194.0,3.0,1636.0,1636.0
Dade,North Dade,1903.0,302.0,590.0,123.0,1.0,1016.0,1016.0
Walker,La Fayette,6547.0,778.0,2169.0,688.0,1.0,3636.0,3636.0
Walker,Walnut Grove,2212.0,444.0,786.0,191.0,0.0,1421.0,1421.0
Walker,Rock Spring,6275.0,693.0,2703.0,632.0,0.0,4028.0,4028.0
Walker,Armuchee Valley,1453.0,563.0,254.0,108.0,0.0,925.0,925.0
Walker,Mountain,1254.0,399.0,244.0,133.0,1.0,777.0,777.0
Walker,Chattanooga Valley,6325.0,892.0,2244.0,720.0,2.0,3858.0,3858.0
Walker,Kensington,1347.0,374.0,338.0,112.0,1.0,825.0,825.0
Walker,Rossville,6255.0,591.0,1891.0,587.0,1.0,3070.0,3070.0
Walker,Chickamauga,6890.0,664.0,2944.0,722.0,1.0,4331.0,4331.0
Walker,Fairyland,1265.0,175.0,490.0,103.0,0.0,768.0,768.0
Walker,Fairview,3101.0,416.0,879.0,292.0,1.0,1588.0,1588.0
