County,Precinct,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total Votes
Monroe,Cabaniss,800.0,197.0,188.0,30.0,1.0,416.0,41.0,72.0,31.0,0.0,144.0,560.0
Monroe,Cox,718.0,138.0,270.0,21.0,0.0,429.0,27.0,56.0,42.0,0.0,125.0,554.0
Monroe,Culloden,454.0,111.0,77.0,29.0,0.0,217.0,38.0,28.0,30.0,1.0,97.0,314.0
Monroe,Dillards,996.0,142.0,368.0,39.0,0.0,549.0,28.0,74.0,34.0,0.0,136.0,685.0
Monroe,Evers,2127.0,276.0,874.0,130.0,0.0,1280.0,50.0,183.0,74.0,0.0,307.0,1587.0
Monroe,Forsyth,4640.0,206.0,982.0,163.0,0.0,1351.0,186.0,884.0,560.0,0.0,1630.0,2981.0
Monroe,High Falls,1994.0,333.0,606.0,109.0,1.0,1049.0,48.0,98.0,66.0,0.0,212.0,1261.0
Monroe,Kelseys,722.0,115.0,155.0,27.0,0.0,297.0,38.0,121.0,83.0,0.0,242.0,539.0
Monroe,Middlebrooks,1319.0,196.0,535.0,64.0,0.0,795.0,38.0,98.0,41.0,0.0,177.0,972.0
Monroe,Proctors,1214.0,224.0,320.0,53.0,0.0,597.0,52.0,90.0,45.0,0.0,187.0,784.0
Monroe,Russellville,466.0,132.0,124.0,15.0,0.0,271.0,22.0,19.0,15.0,0.0,56.0,327.0
Brooks,Quitman,4117.0,187.0,594.0,134.0,4.0,919.0,191.0,581.0,517.0,2.0,1291.0,2210.0
Brooks,Barwick,350.0,96.0,54.0,22.0,1.0,173.0,13.0,25.0,29.0,0.0,67.0,240.0
Brooks,Dixie,1066.0,127.0,193.0,36.0,0.0,356.0,67.0,141.0,172.0,1.0,381.0,737.0
Brooks,Briggs,2317.0,370.0,626.0,139.0,0.0,1135.0,65.0,116.0,119.0,0.0,300.0,1435.0
Brooks,Nankin,735.0,163.0,208.0,39.0,0.0,410.0,17.0,31.0,27.0,0.0,75.0,485.0
Brooks,Morven,1962.0,299.0,502.0,123.0,0.0,924.0,90.0,135.0,154.0,0.0,379.0,1303.0
Brooks,Pavo,607.0,152.0,115.0,43.0,0.0,310.0,41.0,28.0,40.0,0.0,109.0,419.0
Irwin,Irwinville,1796.0,299.0,700.0,159.0,0.0,1158.0,25.0,51.0,21.0,0.0,97.0,1255.0
Irwin,Ocilla,3642.0,232.0,1140.0,178.0,3.0,1553.0,181.0,395.0,185.0,1.0,762.0,2315.0
Irwin,Holt,675.0,114.0,269.0,51.0,0.0,434.0,23.0,32.0,29.0,0.0,84.0,518.0
Houston,ANNX,4512.0,477.0,1205.0,583.0,5.0,2270.0,166.0,464.0,499.0,2.0,1131.0,3401.0
Houston,BMS,9536.0,1355.0,2554.0,1093.0,1.0,5003.0,372.0,1121.0,994.0,2.0,2489.0,7492.0
Houston,CENT,7795.0,937.0,1541.0,721.0,1.0,3200.0,426.0,967.0,846.0,3.0,2242.0,5442.0
Houston,CGTC,4860.0,541.0,1334.0,434.0,4.0,2313.0,171.0,634.0,490.0,0.0,1295.0,3608.0
Houston,FMMS,8767.0,1077.0,1873.0,626.0,1.0,3577.0,506.0,1361.0,970.0,2.0,2839.0,6416.0
Houston,HAFS,1805.0,622.0,349.0,116.0,0.0,1087.0,93.0,76.0,91.0,1.0,261.0,1348.0
Houston,HCTC,6361.0,530.0,941.0,488.0,2.0,1961.0,442.0,833.0,684.0,4.0,1963.0,3924.0
Houston,HEFS,1372.0,339.0,261.0,92.0,4.0,696.0,155.0,74.0,106.0,5.0,340.0,1036.0
Houston,HHPC,9610.0,695.0,1462.0,750.0,4.0,2911.0,661.0,1210.0,1129.0,3.0,3003.0,5914.0
Houston,MCMS,9181.0,1104.0,2463.0,803.0,7.0,4377.0,365.0,1267.0,879.0,2.0,2513.0,6890.0
Houston,NSES,2441.0,393.0,492.0,258.0,1.0,1144.0,133.0,253.0,267.0,0.0,653.0,1797.0
Houston,RECR,9277.0,316.0,525.0,304.0,5.0,1150.0,984.0,1387.0,1348.0,10.0,3729.0,4879.0
Houston,ROZR,13802.0,1510.0,3725.0,1243.0,4.0,6482.0,647.0,1450.0,1178.0,6.0,3281.0,9763.0
Houston,TMS,5286.0,437.0,706.0,369.0,5.0,1517.0,460.0,902.0,691.0,2.0,2055.0,3572.0
Houston,TWPK,4415.0,637.0,883.0,414.0,1.0,1935.0,255.0,588.0,442.0,3.0,1288.0,3223.0
Houston,VHS,6295.0,983.0,1772.0,498.0,4.0,3257.0,259.0,734.0,477.0,0.0,1470.0,4727.0
Wilkinson,Bloodworth,434.0,188.0,101.0,24.0,0.0,313.0,8.0,14.0,10.0,0.0,32.0,345.0
Wilkinson,Griffin,184.0,78.0,32.0,12.0,0.0,122.0,12.0,5.0,13.0,0.0,30.0,152.0
Wilkinson,High Hill,173.0,72.0,29.0,9.0,0.0,110.0,8.0,10.0,6.0,0.0,24.0,134.0
Wilkinson,Irwinton,875.0,75.0,198.0,27.0,1.0,301.0,42.0,192.0,102.0,0.0,336.0,637.0
Wilkinson,Ivey,960.0,295.0,191.0,46.0,2.0,534.0,35.0,36.0,21.0,0.0,92.0,626.0
Wilkinson,Lord,735.0,148.0,140.0,26.0,0.0,314.0,64.0,83.0,68.0,0.0,215.0,529.0
Wilkinson,Midway,938.0,31.0,81.0,13.0,1.0,126.0,87.0,240.0,176.0,2.0,505.0,631.0
Wilkinson,Ramah,1709.0,238.0,264.0,86.0,0.0,588.0,192.0,268.0,165.0,0.0,625.0,1213.0
Wilkinson,Turkey Creek,462.0,150.0,73.0,20.0,0.0,243.0,42.0,32.0,18.0,0.0,92.0,335.0
Lanier,Lakeland,5462.0,473.0,1771.0,270.0,0.0,2514.0,184.0,471.0,271.0,0.0,926.0,3440.0
Ben Hill,East,3956.0,162.0,935.0,165.0,0.0,1262.0,144.0,627.0,346.0,0.0,1117.0,2379.0
Ben Hill,West,5898.0,288.0,2225.0,393.0,0.0,2906.0,172.0,614.0,322.0,0.0,1108.0,4014.0
Dodge,Chauncey,412.0,143.0,71.0,26.0,0.0,240.0,33.0,12.0,8.0,0.0,53.0,293.0
Dodge,Clark,111.0,46.0,19.0,4.0,0.0,69.0,3.0,0.0,0.0,0.0,3.0,72.0
Dodge,Eddin,1037.0,195.0,287.0,62.0,0.0,544.0,57.0,93.0,58.0,0.0,208.0,752.0
Dodge,Empire,456.0,153.0,112.0,26.0,0.0,291.0,9.0,11.0,7.0,0.0,27.0,318.0
Dodge,Jaybird,212.0,69.0,23.0,10.0,1.0,103.0,14.0,19.0,9.0,0.0,42.0,145.0
Dodge,Jones,436.0,129.0,114.0,27.0,0.0,270.0,15.0,23.0,7.0,0.0,45.0,315.0
Dodge,Lee,4816.0,361.0,1289.0,331.0,3.0,1984.0,233.0,588.0,266.0,0.0,1087.0,3071.0
Dodge,McCranie,293.0,100.0,69.0,17.0,0.0,186.0,9.0,15.0,11.0,0.0,35.0,221.0
Dodge,Milan,332.0,100.0,63.0,16.0,0.0,179.0,21.0,10.0,11.0,0.0,42.0,221.0
Dodge,Mitchell,333.0,116.0,87.0,13.0,1.0,217.0,12.0,20.0,17.0,0.0,49.0,266.0
Dodge,Mullis,505.0,178.0,58.0,49.0,0.0,285.0,29.0,20.0,11.0,0.0,60.0,345.0
Dodge,Plainfield,454.0,150.0,122.0,25.0,0.0,297.0,7.0,13.0,12.0,0.0,32.0,329.0
Dodge,Pondtown,689.0,200.0,138.0,56.0,0.0,394.0,38.0,26.0,42.0,0.0,106.0,500.0
Dodge,Rawlins,923.0,163.0,259.0,58.0,0.0,480.0,32.0,69.0,44.0,0.0,145.0,625.0
Dodge,Vilula,170.0,86.0,34.0,8.0,0.0,128.0,2.0,2.0,5.0,0.0,9.0,137.0
Dodge,Yonker,260.0,106.0,38.0,14.0,0.0,158.0,10.0,6.0,6.0,0.0,22.0,180.0
Cook,Cecil,1899.0,136.0,446.0,57.0,0.0,639.0,104.0,270.0,111.0,1.0,486.0,1125.0
Cook,Delle Beamguard,2446.0,204.0,892.0,149.0,0.0,1245.0,84.0,188.0,111.0,0.0,383.0,1628.0
Cook,Elm Pine,531.0,8.0,12.0,7.0,0.0,27.0,75.0,95.0,69.0,0.0,239.0,266.0
Cook,Lenox,1275.0,246.0,394.0,67.0,0.0,707.0,70.0,56.0,34.0,0.0,160.0,867.0
Cook,Massee,919.0,100.0,379.0,37.0,0.0,516.0,13.0,78.0,23.0,0.0,114.0,630.0
Cook,New Life Baptist Church,1233.0,235.0,464.0,56.0,0.0,755.0,18.0,58.0,28.0,0.0,104.0,859.0
Cook,Riverbend,1280.0,128.0,571.0,105.0,0.0,804.0,14.0,72.0,30.0,0.0,116.0,920.0
Cook,Sparks,1049.0,69.0,122.0,33.0,0.0,224.0,119.0,118.0,71.0,0.0,308.0,532.0
Bleckley,Fairground,0.0,946.0,2770.0,629.0,2.0,4347.0,281.0,561.0,399.0,0.0,1241.0,5588.0
Worth,Sylvester,3006.0,124.0,431.0,100.0,0.0,655.0,218.0,419.0,323.0,0.0,960.0,1615.0
Worth,Scooterville,603.0,195.0,146.0,33.0,0.0,374.0,6.0,8.0,9.0,0.0,23.0,397.0
Worth,Minton,543.0,185.0,155.0,37.0,0.0,377.0,8.0,8.0,11.0,0.0,27.0,404.0
Worth,Bridgeboro,1286.0,297.0,312.0,75.0,0.0,684.0,39.0,52.0,36.0,0.0,127.0,811.0
Worth,County Line,887.0,175.0,183.0,48.0,0.0,406.0,12.0,35.0,34.0,0.0,81.0,487.0
Worth,Isabella,1424.0,271.0,495.0,113.0,0.0,879.0,21.0,64.0,26.0,0.0,111.0,990.0
Worth,Piney Woods,336.0,44.0,60.0,16.0,0.0,120.0,22.0,37.0,19.0,0.0,78.0,198.0
Worth,Sylvester East,1406.0,171.0,450.0,100.0,0.0,721.0,37.0,108.0,59.0,0.0,204.0,925.0
Worth,Poulan,887.0,225.0,202.0,53.0,0.0,480.0,29.0,43.0,29.0,0.0,101.0,581.0
Worth,Sumner,871.0,220.0,199.0,51.0,0.0,470.0,28.0,32.0,40.0,0.0,100.0,570.0
Worth,Shingler,554.0,184.0,154.0,37.0,0.0,375.0,8.0,17.0,18.0,0.0,43.0,418.0
Worth,Red Rock,1287.0,278.0,237.0,58.0,0.0,573.0,40.0,47.0,62.0,0.0,149.0,722.0
Worth,Doles,449.0,154.0,93.0,32.0,0.0,279.0,5.0,16.0,11.0,0.0,32.0,311.0
Worth,Oakfield,229.0,55.0,42.0,6.0,0.0,103.0,6.0,13.0,26.0,0.0,45.0,148.0
Worth,Warwick,701.0,173.0,118.0,38.0,0.0,329.0,62.0,20.0,60.0,0.0,142.0,471.0
Lowndes,Hahira Train Depot,5526.0,885.0,1892.0,312.0,6.0,3095.0,143.0,428.0,202.0,7.0,780.0,3875.0
Lowndes,Trinity,10900.0,573.0,2034.0,439.0,19.0,3065.0,342.0,1616.0,789.0,16.0,2763.0,5828.0
Lowndes,Northside,17467.0,747.0,4513.0,1024.0,34.0,6318.0,518.0,2382.0,1393.0,64.0,4357.0,10675.0
Lowndes,Naylor,1291.0,35.0,137.0,15.0,0.0,187.0,15.0,87.0,33.0,0.0,135.0,322.0
Lowndes,Rainwater,9877.0,615.0,2930.0,620.0,29.0,4194.0,289.0,1275.0,640.0,23.0,2227.0,6421.0
Lowndes,Mildred,4283.0,53.0,220.0,52.0,4.0,329.0,334.0,832.0,553.0,18.0,1737.0,2066.0
Lowndes,Clyattville,4755.0,632.0,1225.0,265.0,13.0,2135.0,136.0,365.0,263.0,8.0,772.0,2907.0
Lowndes,Dasher,4255.0,628.0,1487.0,260.0,19.0,2394.0,71.0,249.0,139.0,1.0,460.0,2854.0
Lowndes,S Lowndes,3967.0,718.0,1175.0,241.0,15.0,2149.0,122.0,254.0,201.0,5.0,582.0,2731.0
Lowndes,VSU UC # 2,318.0,7.0,10.0,1.0,0.0,18.0,40.0,49.0,9.0,2.0,100.0,118.0
Lowndes,Jaycee Shack,6273.0,111.0,441.0,142.0,7.0,701.0,369.0,1525.0,721.0,38.0,2653.0,3354.0
Lowndes,Northgate Assembly,1997.0,52.0,217.0,28.0,10.0,307.0,20.0,96.0,42.0,5.0,163.0,470.0
Lowndes,Mt Calvary,4447.0,49.0,80.0,36.0,11.0,176.0,210.0,881.0,343.0,58.0,1492.0,1668.0
Thomas,Barwick,630.0,122.0,214.0,44.0,0.0,380.0,31.0,36.0,19.0,0.0,86.0,466.0
Thomas,Boston,1632.0,152.0,362.0,79.0,0.0,593.0,116.0,241.0,149.0,0.0,506.0,1099.0
Thomas,Central,3523.0,184.0,1286.0,250.0,0.0,1720.0,85.0,466.0,227.0,0.0,778.0,2498.0
Thomas,Coolidge,983.0,207.0,281.0,57.0,0.0,545.0,50.0,54.0,43.0,0.0,147.0,692.0
Thomas,Douglass,2448.0,54.0,183.0,49.0,0.0,286.0,219.0,673.0,242.0,0.0,1134.0,1420.0
Thomas,LIttle Ochlocknee Baptist Church1132,1132.0,205.0,446.0,81.0,0.0,732.0,17.0,114.0,34.0,0.0,165.0,897.0
Thomas,Fire Station #2,1404.0,133.0,568.0,134.0,0.0,835.0,16.0,159.0,89.0,0.0,264.0,1099.0
Thomas,Gatlin Creek,2069.0,212.0,805.0,149.0,0.0,1166.0,47.0,219.0,108.0,0.0,374.0,1540.0
Thomas,Harper,2001.0,40.0,234.0,49.0,0.0,323.0,150.0,503.0,284.0,0.0,937.0,1260.0
Thomas,Jerger,1898.0,99.0,667.0,174.0,0.0,940.0,64.0,286.0,143.0,0.0,493.0,1433.0
Thomas,Meigs,864.0,125.0,159.0,48.0,0.0,332.0,138.0,56.0,32.0,1.0,227.0,559.0
Thomas,Metcalfe,299.0,77.0,70.0,16.0,0.0,163.0,15.0,20.0,24.0,0.0,59.0,222.0
Thomas,New Covenant,2155.0,225.0,813.0,132.0,0.0,1170.0,43.0,225.0,116.0,0.0,384.0,1554.0
Thomas,Ochlocknee,1175.0,258.0,358.0,50.0,0.0,666.0,57.0,65.0,23.0,1.0,146.0,812.0
Thomas,Pavo,673.0,183.0,174.0,39.0,0.0,396.0,18.0,32.0,40.0,0.0,90.0,486.0
Thomas,Remington Esc,2190.0,148.0,656.0,177.0,0.0,981.0,77.0,353.0,155.0,0.0,585.0,1566.0
Thomas,Resource Center,1363.0,10.0,56.0,16.0,0.0,82.0,132.0,397.0,228.0,0.0,757.0,839.0
Thomas,Scott,2491.0,128.0,894.0,171.0,0.0,1193.0,72.0,428.0,199.0,2.0,701.0,1894.0
Thomas,Merrillville,701.0,65.0,267.0,35.0,0.0,367.0,11.0,65.0,46.0,0.0,122.0,489.0
Thomas,Patten,397.0,80.0,151.0,20.0,0.0,251.0,13.0,25.0,10.0,0.0,48.0,299.0
Atkinson,Pearson County,1802.0,220.0,677.0,78.0,0.0,975.0,31.0,81.0,34.0,0.0,146.0,1121.0
Atkinson,Axson,742.0,179.0,244.0,26.0,1.0,450.0,20.0,15.0,4.0,0.0,39.0,489.0
Atkinson,Willacoochee,1311.0,211.0,286.0,45.0,0.0,542.0,102.0,126.0,36.0,0.0,264.0,806.0
Atkinson,Pearson City,944.0,68.0,138.0,28.0,0.0,234.0,53.0,158.0,44.0,0.0,255.0,489.0
Telfair,Helena,969.0,111.0,271.0,36.0,2.0,420.0,50.0,99.0,51.0,5.0,205.0,625.0
Telfair,Jacksonville,628.0,169.0,123.0,42.0,0.0,334.0,34.0,20.0,37.0,1.0,92.0,426.0
Telfair,Lumber-City,963.0,150.0,165.0,49.0,0.0,364.0,67.0,42.0,222.0,0.0,331.0,695.0
Telfair,McRae,2337.0,139.0,570.0,144.0,0.0,853.0,96.0,319.0,254.0,1.0,670.0,1523.0
Telfair,Milan,802.0,235.0,240.0,69.0,0.0,544.0,24.0,22.0,22.0,0.0,68.0,612.0
Telfair,Scotland,333.0,101.0,70.0,17.0,0.0,188.0,21.0,20.0,8.0,0.0,49.0,237.0
Tift,Tifton Northeast,3332.0,218.0,926.0,227.0,7.0,1378.0,132.0,403.0,166.0,6.0,707.0,2085.0
Tift,Brighton,2219.0,338.0,1014.0,165.0,0.0,1517.0,38.0,145.0,81.0,0.0,264.0,1781.0
Tift,Brookfield,1501.0,305.0,519.0,69.0,0.0,893.0,45.0,62.0,37.0,0.0,144.0,1037.0
Tift,Chula,1314.0,313.0,488.0,114.0,1.0,916.0,20.0,79.0,41.0,0.0,140.0,1056.0
Tift,Docia,1056.0,234.0,440.0,86.0,1.0,761.0,14.0,31.0,26.0,0.0,71.0,832.0
Tift,Eldorado,1262.0,280.0,422.0,73.0,1.0,776.0,32.0,50.0,20.0,1.0,103.0,879.0
Tift,Omega,864.0,245.0,140.0,33.0,1.0,419.0,63.0,34.0,21.0,0.0,118.0,537.0
Tift,Ty Ty,1221.0,252.0,337.0,72.0,1.0,662.0,68.0,74.0,33.0,0.0,175.0,837.0
Tift,Tifton Northwest,3334.0,285.0,1207.0,223.0,0.0,1715.0,107.0,349.0,144.0,0.0,600.0,2315.0
Tift,Tifton South,2366.0,78.0,309.0,67.0,0.0,454.0,163.0,316.0,216.0,4.0,699.0,1153.0
Tift,Mott-Litman Gym,2889.0,60.0,239.0,51.0,0.0,350.0,217.0,496.0,316.0,3.0,1032.0,1382.0
Tift,Tifton Lodge,3091.0,195.0,1018.0,213.0,0.0,1426.0,96.0,325.0,170.0,1.0,592.0,2018.0
