index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Banks,Anderson,1533,217,563,101,1,882,12,45,41,0,98,5,19,2,0,26,1006,
1,Banks,Baldwin,876,84,308,112,0,504,20,47,44,0,111,2,6,5,0,13,628,
2,Banks,Berlin,415,42,192,28,1,263,3,19,5,0,27,2,2,0,0,4,294,
3,Banks,Bushville,816,115,294,41,1,451,7,21,13,0,41,5,6,3,0,14,506,
4,Banks,Columbia,363,64,164,30,0,258,4,7,6,0,17,1,2,0,1,4,279,
5,Banks,Davids,1977,236,727,122,4,1089,26,77,50,0,153,8,20,4,0,32,1274,
6,Banks,Golden Hill,1008,126,345,67,0,538,14,30,33,2,79,3,3,0,0,6,623,
7,Banks,Grove River,600,85,229,67,0,381,10,16,8,0,34,6,2,0,0,8,423,
8,Banks,Hollingsworth,667,82,288,47,1,418,4,19,27,0,50,3,8,3,0,14,482,
9,Banks,Homer,1544,169,658,109,1,937,19,48,34,0,101,8,10,4,0,22,1060,
10,Banks,Poplar Springs,1775,220,720,159,1,1100,21,48,38,0,107,8,18,3,0,29,1236,
11,Banks,Washington,704,82,299,50,1,432,9,27,18,0,54,1,6,1,0,8,494,
12,Banks,Wilmonts,620,73,261,49,0,383,3,16,8,0,27,4,4,2,0,10,420,
