index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Banks,Anderson,1533,224,575,102,0,901,8,46,46,0,100,3,9,0,0,12,1013,
1,Banks,Baldwin,876,87,317,124,0,528,19,42,42,0,103,2,4,0,0,6,637,
2,Banks,Berlin,415,45,194,26,1,266,2,19,8,0,29,0,0,0,0,0,295,
3,Banks,Bushville,816,121,300,46,1,468,9,22,11,0,42,0,2,1,0,3,513,
4,Banks,Columbia,363,65,163,30,0,258,4,9,6,1,20,0,0,0,0,0,278,
5,Banks,Davids,1977,243,732,128,4,1107,25,85,56,0,166,3,8,0,0,11,1284,
6,Banks,Golden Hill,1008,126,341,71,0,538,14,32,32,2,80,2,5,0,0,7,625,
7,Banks,Grove River,600,90,232,65,0,387,10,14,9,0,33,1,3,0,0,4,424,
8,Banks,Hollingsworth,667,86,293,52,1,432,5,19,29,0,53,0,3,0,0,3,488,
9,Banks,Homer,1544,176,666,114,1,957,20,52,36,0,108,2,2,2,0,6,1071,
10,Banks,Poplar Springs,1775,224,732,164,1,1121,20,52,41,0,113,4,8,3,0,15,1249,
11,Banks,Washington,704,81,306,50,1,438,9,27,17,0,53,2,1,1,0,4,495,
12,Banks,Wilmonts,620,76,265,53,0,394,5,16,11,0,32,1,0,2,0,3,429,
