index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Pickens,Yellow Creek,3571,786,977,317,0,2080,96,188,231,0,515,27,14,14,0,55,2650,
1,Pickens,Sharptop,2616,584,693,309,1,1587,88,128,218,0,434,20,19,11,0,50,2071,
2,Pickens,Appalachian,1933,385,580,159,0,1124,48,104,71,0,223,24,7,4,0,35,1382,
3,Pickens,Refuge,2490,546,745,167,0,1458,49,109,83,0,241,26,16,7,0,49,1748,
4,Pickens,Hill,2042,519,577,159,2,1257,61,91,78,0,230,20,12,4,0,36,1523,
5,Pickens,Hinton,825,309,148,31,0,488,26,15,14,0,55,10,3,3,0,16,559,
6,Pickens,Jerusalem,1145,488,195,53,0,736,38,23,38,0,99,8,3,3,0,14,849,
7,Pickens,Ludville,721,301,93,29,0,423,20,10,14,0,44,14,2,1,0,17,484,
8,Pickens,Nelson,1474,405,354,89,0,848,47,58,52,0,157,18,7,3,0,28,1033,
9,Pickens,Talking Rock,1781,462,464,130,3,1059,24,59,37,0,120,17,13,9,0,39,1218,
10,Pickens,Jasper,2517,435,610,146,1,1192,98,129,110,0,337,15,22,5,0,42,1571,
11,Pickens,Tate,2651,647,773,187,1,1608,60,89,74,0,223,24,20,6,0,50,1881,
