index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Dougherty,Palmyra Methodist,2761,321,295,182,6,804,220,301,249,6,776,7,6,5,0,18,1598,
1,Dougherty,Sherwood Elementary,3205,263,267,192,0,722,379,528,304,0,1211,13,4,5,1,23,1956,
2,Dougherty,Covenant Church,2334,318,209,128,0,655,252,288,217,2,759,7,7,3,1,18,1432,
3,Dougherty,Greenbriar Church,3885,399,666,324,5,1394,264,678,585,4,1531,5,8,5,0,18,2943,
4,Dougherty,Westover High School,3394,323,432,265,0,1020,314,692,427,0,1433,11,4,8,0,23,2476,
5,Dougherty,Merry Acres Middle,2432,318,329,167,2,816,211,310,245,9,775,7,5,9,0,21,1612,
6,Dougherty,Darton College,4289,128,246,125,3,502,479,941,617,6,2043,6,7,5,0,18,2563,
7,Dougherty,Westtown Elementary,3265,39,31,33,0,103,499,632,673,1,1805,4,5,0,0,9,1917,
8,Dougherty,2nd Mt Zion Church,1465,271,167,110,1,549,129,150,169,2,450,3,3,2,0,8,1007,
9,Dougherty,Mt Zion Center,3638,22,13,14,0,49,557,569,634,2,1762,6,2,4,0,12,1823,
10,Dougherty,Alice Coachman Elementary,750,10,1,5,0,16,123,162,209,0,494,0,4,0,0,4,514,
11,Dougherty,Carver Teen Center,1667,9,4,8,0,21,229,155,236,3,623,4,0,0,0,4,648,
12,Dougherty,Shiloh Baptist Church,1510,12,20,10,0,42,264,172,227,0,663,5,2,0,0,7,712,
13,Dougherty,Litman Cathedral,1486,11,12,7,2,32,236,192,208,20,656,7,0,1,1,9,697,
14,Dougherty,Phoebe Healthworks,1574,65,33,27,0,125,173,154,184,1,512,4,2,2,0,8,645,
15,Dougherty,Turner Elementary,1205,10,3,3,0,16,108,76,67,6,257,1,0,0,0,1,274,
16,Dougherty,Jackson Heights Elementary,2549,16,6,10,0,32,398,328,375,1,1102,6,1,1,0,8,1142,
17,Dougherty,Bill Miller Center,2404,48,38,30,1,117,329,374,282,4,989,5,1,1,0,7,1113,
18,Dougherty,Radium Middle School,693,62,26,31,0,119,94,119,76,0,289,2,2,1,0,5,413,
19,Dougherty,Putney 1st Baptist Church,2819,503,223,129,1,856,264,331,314,0,909,6,1,6,0,13,1778,
20,Dougherty,International Studies,1042,84,65,36,0,185,109,187,188,1,485,1,0,1,0,2,672,
21,Dougherty,Phoebe East,2965,86,48,48,1,183,462,389,369,3,1223,3,2,2,0,7,1413,
22,Dougherty,Pine Bluff Baptist Church,2221,217,128,112,0,457,265,309,304,0,878,4,1,3,0,8,1343,
23,Dougherty,Albany Middle School,1963,23,22,18,0,63,344,271,252,4,871,2,2,0,0,4,938,
24,Dougherty,Christ Church,1879,445,291,178,0,914,104,264,214,1,583,3,2,1,0,6,1503,
25,Dougherty,Lamar Reese Elementary,1098,21,14,9,0,44,170,199,262,6,637,4,0,3,0,7,688,
26,Dougherty,1st Christian Church,1505,226,227,148,0,601,148,188,134,1,471,6,3,1,0,10,1082,
27,Dougherty,Lovett Hall,1174,9,2,1,0,12,193,165,33,1,392,1,0,1,0,2,406,
