index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Dougherty,Palmyra Methodist,2761,347,396,272,5,1020,172,169,125,5,471,1491,
1,Dougherty,Sherwood Elementary,3205,455,558,329,1,1343,168,194,151,0,513,1856,
2,Dougherty,Covenant Church,2334,360,336,233,1,930,190,149,101,1,441,1371,
3,Dougherty,Greenbriar Church,3885,453,879,571,6,1909,182,419,292,2,895,2804,
4,Dougherty,Westover High School,3394,454,797,417,0,1668,168,291,241,0,700,2368,
5,Dougherty,Merry Acres Middle,2432,349,430,267,4,1050,164,180,132,6,482,1532,
6,Dougherty,Darton College,4289,479,849,500,7,1835,122,297,207,1,627,2462,
7,Dougherty,Westtown Elementary,3265,418,500,515,1,1434,114,150,163,0,427,1861,
8,Dougherty,2nd Mt Zion Church,1465,238,185,164,2,589,139,115,92,0,346,935,
9,Dougherty,Mt Zion Center,3638,463,426,473,2,1364,100,134,150,0,384,1748,
10,Dougherty,Alice Coachman Elementary,750,107,131,147,0,385,24,32,61,0,117,502,
11,Dougherty,Carver Teen Center,1667,187,126,180,2,495,48,30,54,1,133,628,
12,Dougherty,Shiloh Baptist Church,1510,216,143,158,0,517,51,42,60,0,153,670,
13,Dougherty,Litman Cathedral,1486,191,143,152,16,502,52,50,48,7,157,659,
14,Dougherty,Phoebe Healthworks,1574,183,145,142,1,471,50,41,52,0,143,614,
15,Dougherty,Turner Elementary,1205,91,59,55,5,210,28,18,15,1,62,272,
16,Dougherty,Jackson Heights Elementary,2549,312,245,274,0,831,87,77,86,0,250,1081,
17,Dougherty,Bill Miller Center,2404,308,310,222,5,845,69,89,70,0,228,1073,
18,Dougherty,Radium Middle School,693,115,100,63,0,278,32,40,43,0,115,393,
19,Dougherty,Putney 1st Baptist Church,2819,519,387,292,1,1199,207,142,128,0,477,1676,
20,Dougherty,International Studies,1042,122,181,146,0,449,64,63,68,1,196,645,
21,Dougherty,Phoebe East,2965,422,331,302,4,1059,113,91,98,0,302,1361,
22,Dougherty,Pine Bluff Baptist Church,2221,309,293,273,0,875,146,114,124,0,384,1259,
23,Dougherty,Albany Middle School,1963,278,204,196,2,680,83,80,64,1,228,908,
24,Dougherty,Christ Church,1879,333,355,249,1,938,195,177,131,0,503,1441,
25,Dougherty,Lamar Reese Elementary,1098,140,144,186,3,473,40,59,73,1,173,646,
26,Dougherty,1st Christian Church,1505,244,284,169,1,698,119,116,95,0,330,1028,
27,Dougherty,Lovett Hall,1174,151,142,21,1,315,45,23,13,0,81,396,
